species,assembly_accession
Arthrobacter,GCF_002849715.1
Asaia,GCF_001547995.1
Asticcacaulis,GCF_000175215.2
Athalassotoga,GCF_009936215.1
Atlantibacter,GCF_024224615.1
Aurantiacibacter,GCF_001077815.2
Aurantimicrobium,GCF_003194085.1
Auraticoccus,GCF_900101785.1
Aureibaculum,GCF_006065315.1
Aureimonas,GCF_017815515.1
Aureliella,GCF_007752135.1
Avibacterium,GCF_011765605.1
Azoarcus,GCF_001682385.1
Azorhizobium,GCF_000010525.1
Azospira,GCF_016858125.1
Azospirillum,GCF_003119195.2
Azotobacter,GCF_000021045.1
Bacillus,GCF_000161615.1
Bacteriovorax,GCF_006874605.1
Bacteroides,GCF_018292125.1
Baekduia,GCF_007970665.1
Barnesiella,GCF_000512915.1
Basfia,GCF_011455875.1
Basilea,GCF_000743945.1
Bathymodiolus,GCF_003711265.1
Bdellovibrio,GCF_000691605.1
Beggiatoa,GCF_001305575.3
Beijerinckia,GCF_000019845.1
Belliella,GCF_000265405.1
Bermanella,GCF_012295615.1
Bernardetia,GCF_000265505.1
Berryella,GCF_000814825.1
Beutenbergia,GCF_000023105.1
Bibersteinia,GCF_000521725.1
Bifidobacterium,GCF_001042635.1
Biomaibacter,GCF_003691585.1
Bisgaardia,GCF_013377195.1
Blastochloris,GCF_003966715.1
Blastomonas,GCF_003431825.1
Blattabacterium,GCF_014251295.1
Blautia,GCF_010669205.1
Bombilactobacillus,GCF_003522965.1
Bordetella,GCF_001676745.1
Bosea,GCF_001741865.1
Botrimarina,GCF_007753265.1
Boudabousia,GCF_001856685.1
Brachyspira,GCF_000223215.1
Bradymonas,GCF_003258315.1
Brasilonema,GCF_006968745.1
Bremerella,GCF_007748115.1
Brenneria,GCF_002291445.1
Brevefilum,GCF_900184705.1
Brevibacillus,GCF_900637055.1
Brevibacterium,GCF_900105045.1
Brochothrix,GCF_001703515.1
Brucella,GCF_015326295.1
Buchnera,GCF_003099975.1
Burkholderia,GCF_000012945.1
Buttiauxella,GCF_022637515.1
Butyricimonas,GCF_003991565.1
Butyrivibrio,GCF_000145035.1
Bythopirellula,GCF_008065115.1
Caballeronia,GCF_022879815.1
Caenibius,GCF_003860345.1
Caldalkalibacillus,GCF_019856495.1
Caldanaerobacter,GCF_000007085.1
Caldicellulosiruptor,GCF_000016545.1
Caldichromatium,GCF_011290485.1
Caldilinea,GCF_000281175.1
Caldimicrobium,GCF_001548275.1
Caldimonas,GCF_001017435.1
Caldinitratiruptor,GCF_025999835.1
Caldisericum,GCF_000284335.1
Calditerrivibrio,GCF_000183405.1
Caldithrix,GCF_001886815.1
Calothrix,GCF_002368095.1
Calycomorphotria,GCF_007745435.1
Caminibacter,GCF_005083985.2
Campylobacter,GCF_004803795.1
Candidatus,GCF_009002475.1
Capnocytophaga,GCF_002209445.1
Caproicibacter,GCF_014303955.1
Carboxydothermus,GCF_000012865.1
Cardinium,GCF_936981045.1
Cardiobacterium,GCF_900637305.1
Carnobacterium,GCF_001703555.1
Casimicrobium,GCF_009746125.1
Castellaniella,GCF_000612685.1
Catenovulum,GCF_007289895.1
Catenulispora,GCF_000024025.1
Caulifigura,GCF_007745175.1
Caulobacter,GCF_010977555.1
Cedecea,GCF_002393445.1
Celeribacter,GCF_000819565.1
Celerinatantimonas,GCF_914590485.1
Cellulomonas,GCF_000212695.1
Cellulophaga,GCF_000186265.1
Cellulosilyticum,GCF_000178835.2
Cellulosimicrobium,GCF_009708005.2
Cellvibrio,GCF_008120875.1
Cereibacter,GCF_000021005.1
Chamaesiphon,GCF_000317145.1
Changchengzhania,GCF_006974145.1
Chania,GCF_000520015.2
Chenggangzhangella,GCF_019797865.1
Chitinimonas,GCF_007431345.1
Chitinolyticbacter,GCF_008033135.1
Chitinophaga,GCF_000024005.1
Chlamydiifrater,GCF_902806995.1
Chloracidobacterium,GCF_000226295.1
Chlorobaculum,GCF_001747405.1
Chlorobium,GCF_000015125.1
Chloroflexus,GCF_000018865.1
Chloroherpeton,GCF_000020525.1
Chondromyces,GCF_001189295.1
Chordicoccus,GCF_019355395.1
Christensenella,GCF_003628755.1
Christiangramia,GCF_003024155.1
Chromobacterium,GCF_020544465.1
Chromohalobacter,GCF_000055785.1
Chroococcidiopsis,GCF_000317125.1
Chryseobacterium,GCF_003815875.1
Chryseolinea,GCF_003589925.1
Chthonomonas,GCF_000427095.1
Ciceribacter,GCF_014126615.1
Citrifermentans,GCF_000020725.1
Citrobacter,GCF_021278985.1
Clavibacter,GCF_009739655.1
Cloacibacillus,GCF_001701045.1
Cloacibacterium,GCF_003860565.1
Clostridioides,GCF_018885085.1
Clostridium,GCF_000340885.1
Cnuibacter,GCF_002096055.1
Cobetia,GCF_020217465.1
Cognaticolwellia,GCF_002076895.1
Cohnella,GCF_012849095.1
Collimonas,GCF_001584145.1
Collinsella,GCF_020735465.1
Colwellia,GCF_000012325.1
Comamonas,GCF_020886175.1
Companilactobacillus,GCF_000831645.3
Conchiformibius,GCF_014054725.1
Conexibacter,GCF_000025265.1
Congregibacter,GCF_000153125.2
Constantimarinum,GCF_014295415.1
Coprococcus,GCF_016904155.1
Coprothermobacter,GCF_000020945.1
Coraliomargarita,GCF_000025905.1
Corallococcus,GCF_000255295.1
Coriobacterium,GCF_000195315.1
Corynebacterium,GCF_020886775.1
Costertonia,GCF_013402795.1
Coxiella,GCF_000007765.2
Crassaminicella,GCF_019884785.1
Crateriforma,GCF_007752935.1
Crenobacter,GCF_003355495.1
Crinalium,GCF_000317495.1
Croceibacter,GCF_000196315.1
Croceibacterium,GCF_001008165.2
Croceicoccus,GCF_014211955.1
Crocosphaera,GCF_000017845.1
Cronobacter,GCF_001277235.1
Cruoricaptor,GCF_014961145.1
Cryobacterium,GCF_003611035.1
Cryptobacterium,GCF_000023845.1
Cupriavidus,GCF_008801925.2
Curtobacterium,GCF_017909455.1
Cutibacterium,GCF_001717565.1
Cyanobacterium,GCF_000317675.1
Cyanobium,GCF_000316515.1
Cyclobacterium,GCF_000222485.1
Cyclonatronum,GCF_003353065.1
Cylindrospermopsis,GCF_014489415.1
Cylindrospermum,GCF_000317535.1
Cytobacillus,GCF_023823875.1
Cytophaga,GCF_000014145.1
Dactylococcopsis,GCF_000317615.1
Dactylosporangium,GCF_019904175.1
Deferribacter,GCF_000010985.1
Defluviicoccus,GCF_014672695.1
Defluviitoga,GCF_000953715.1
Dehalobacter,GCF_009796305.1
Dehalobacterium,GCF_002224645.1
Dehalococcoides,GCF_000830905.1
Dehalogenimonas,GCF_001953175.1
Deinococcus,GCF_025997855.1
Delftia,GCF_016027815.1
Denitratisoma,GCF_902813185.1
Denitrobacterium,GCF_001643775.1
Denitrovibrio,GCF_000025725.1
Dermabacter,GCF_001678905.1
Dermacoccus,GCF_000725405.1
Dermatophilus,GCF_900187045.1
Desulfarculus,GCF_000143965.1
Desulfatibacillum,GCF_000021905.1
Desulfitobacterium,GCF_000021925.1
Desulfobacca,GCF_000195295.1
Desulfobacter,GCF_004319545.1
Desulfobacula,GCF_000307105.1
Desulfobulbus,GCF_000186885.1
Desulfocapsa,GCF_000341395.1
Desulfococcus,GCF_002009335.2
Desulfocurvibacter,GCF_000212675.2
Desulfofarcimen,GCF_000024205.1
Desulfoglaeba,GCF_005377625.1
Desulfohalobium,GCF_000024325.1
Desulfomicrobium,GCF_000023225.1
Desulfomonile,GCF_000266945.1
Desulfonema,GCF_017377395.1
Desulforamulus,GCF_000215085.1
Desulforapulum,GCF_000020365.1
Desulfosarcina,GCF_009688985.1
Desulfoscipio,GCF_000233715.2
Desulfosediminicola,GCF_005116655.2
Desulfosporosinus,GCF_000235605.1
Desulfosudis,GCF_000018405.1
Desulfotalea,GCF_000025945.1
Desulfovibrio,GCF_013376455.1
Desulfurispirillum,GCF_000177635.2
Desulfurivibrio,GCF_000092205.1
Desulfurobacterium,GCF_000191045.1
Devosia,GCF_007859655.1
Devriesea,GCF_900070355.1
Dialister,GCF_007164725.1
Diaphorobacter,GCF_014395975.1
Dichelobacter,GCF_000015345.1
Dickeya,GCF_002812485.1
Dictyoglomus,GCF_000020965.1
Dietzia,GCF_003096075.1
Dinoroseobacter,GCF_000018145.1
Dissulfurimicrobium,GCF_022026155.1
Dissulfurispira,GCF_014701235.1
Dokdonella,GCF_001632775.1
Dokdonia,GCF_001653755.1
Dolichospermum,GCF_024584745.1
Dolosigranulum,GCF_003263915.2
Dongshaea,GCF_003072645.1
Draconibacterium,GCF_010448835.1
Duffyella,GCF_020342335.1
Duganella,GCF_012849375.1
Duncaniella,GCF_004803915.1
Duodenibacillus,GCF_928721995.1
Echinicola,GCF_003260975.1
Edaphobacter,GCF_025264645.1
Edwardsiella,GCF_000264765.2
Eggerthella,GCF_009834925.2
Egibacter,GCF_004322855.1
Egicoccus,GCF_004300825.1
Ehrlichia,GCF_013460375.1
Eikenella,GCF_900187105.1
Elizabethkingia,GCF_016599835.1
Elusimicrobium,GCF_000020145.1
Empedobacter,GCF_013488205.1
Endomicrobium,GCF_001027545.1
Endozoicomonas,GCF_025562755.1
Ensifer,GCF_000697965.2
Enterobacter,GCF_001984825.2
Enterobacteriaceae,GCF_012562605.1
Enterocloster,GCF_002234575.2
Enterococcus,GCF_019175485.1
Entomomonas,GCF_003991975.1
Entomoplasma,GCF_002804205.1
Entomospira,GCF_028748145.1
Ephemeroptericola,GCF_003339525.1
Epidermidibacterium,GCF_009834025.1
Epilithonimonas,GCF_003860525.1
Ereboglobus,GCF_003096195.1
Erwinia,GCF_000196615.1
Erysipelothrix,GCF_001545095.1
Escherichia,GCF_000008865.2
Ethanoligenens,GCF_000178115.2
Eubacterium,GCF_000807675.2
Euhalothece,GCF_007904085.1
Euzebya,GCF_003344865.1
Euzebyella,GCF_003687485.1
Evansella,GCF_000177235.2
Exiguobacterium,GCF_018604565.1
Ezakiella,GCF_900120165.1
Faecalibacillus,GCF_015097455.1
Faecalibacterium,GCF_010509575.1
Faecalibaculum,GCF_001564455.1
Falsihalocynthiibacter,GCF_000812665.2
Fastidiosipila,GCF_002998295.1
Fenollaria,GCF_023347705.1
Ferribacterium,GCF_020510565.1
Ferrigenium,GCF_018324385.1
Ferrimonas,GCF_000148645.1
Ferriphaselus,GCF_000974685.2
Ferrovibrio,GCF_007197755.1
Ferrovum,GCF_013181415.1
Fervidobacterium,GCF_004117075.1
Fibrella,GCF_000331105.1
Fibrobacter,GCF_000146505.1
Fictibacillus,GCF_001629705.1
Filifactor,GCF_000163895.2
Filimonas,GCF_002355595.1
Fimbriimonas,GCF_000724625.1
Flammeovirga,GCF_018736045.1
Flaviflexus,GCF_003971195.1
Flavisolibacter,GCF_001644645.1
Flavivirga,GCF_002886045.1
Flavobacterium,GCF_000016645.1
Flavonifractor,GCF_010508875.1
Flexistipes,GCF_000218625.1
Fluoribacter,GCF_000236145.1
Fluviibacter,GCF_009938305.1
Fluviicola,GCF_000194605.1
Fluviispira,GCF_004295685.1
Formicincola,GCF_006542395.2
Formosa,GCF_000723205.1
Francisella,GCF_001895265.1
Frankia,GCF_000058485.1
Frederiksenia,GCF_011455495.1
Fretibacterium,GCF_000210715.1
Friedmanniella,GCF_900105065.1
Frigidibacter,GCF_001620265.1
Frischella,GCF_000807275.1
Fuerstiella,GCF_001983935.1
Furfurilactobacillus,GCF_013394005.1
Fuscovulum,GCF_003071405.1
Fusobacterium,GCF_003019675.1
Gallaecimonas,GCF_003367375.1
Gallionella,GCF_000145255.1
Gemella,GCF_900638055.1
Geminocystis,GCF_000332235.1
Gemmata,GCF_901538265.1
Gemmatimonas,GCF_013004105.1
Gemmatirosa,GCF_000522985.1
Geobacillus,GCF_002243665.1
Geobacter,GCF_000012925.1
Geodermatophilus,GCF_000025345.1
Georgenia,GCF_006352065.1
Georhizobium,GCF_003952725.1
Geosporobacter,GCF_001750685.1
Geotalea,GCF_000016745.1
Geovibrio,GCF_004087915.1
Gephyromycinifex,GCF_012277275.1
Gibbsiella,GCF_002291425.1
Gilliamella,GCF_000599985.1
Gimesia,GCF_009720525.1
Glaciecola,GCF_000226565.1
Glaesserella,GCF_017352235.1
Gleimia,GCF_002871945.2
Gloeomargarita,GCF_001870225.1
Gloeothece,GCF_000147335.1
Gluconacetobacter,GCF_000021325.1
Gluconobacter,GCF_002005485.1
Glutamicibacter,GCF_016894325.1
Glycocaulis,GCF_004000605.1
Gordonia,GCF_003855095.1
Gottschalkia,GCF_000299355.1
Gracilibacillus,GCF_009650095.1
Gracilinema,GCF_000219725.1
Granulibacter,GCF_001889445.1
Granulicatella,GCF_019931005.1
Granulicella,GCF_000178955.2
Granulosicoccus,GCF_002215215.1
Grimontia,GCF_001558255.2
Gryllotalpicola,GCF_003627055.1
Gudongella,GCF_004101785.1
Gulosibacter,GCF_003010915.2
Gynuella,GCF_000940805.1
Haematobacter,GCF_004328555.1
Haematospirillum,GCF_001611975.1
Haemophilus,GCF_900186995.1
Hafnia,GCF_020150375.1
Hahella,GCF_000012985.1
Halalkalibacterium,GCF_005671335.1
Halanaerobium,GCF_000166415.1
Halarcobacter,GCF_013201825.1
Haliangium,GCF_000024805.1
Halioglobus,GCF_009388985.1
Haliscomenobacter,GCF_000212735.1
Halobacillus,GCF_000284515.1
Halobacteriovorax,GCF_000210915.2
Halobacteroides,GCF_000328625.1
Halomicronema,GCF_002075285.3
Halomonas,GCF_014697095.1
Halopseudomonas,GCF_900105255.1
Halorhodospira,GCF_002356555.2
Halothermothrix,GCF_000020485.1
Halothiobacillus,GCF_000024765.1
Hankyongella,GCF_005144965.1
Haploplasma,GCF_900660745.1
Hartmannibacter,GCF_900231165.1
Hathewaya,GCF_901482605.1
Helicobacter,GCF_000284635.1
Heliomicrobium,GCF_000019165.1
Heliorestis,GCF_009649955.1
Herbaspirillum,GCF_004367745.1
Herbinix,GCF_900070325.1
Herminiimonas,GCF_900130075.1
Heyndrickxia,GCF_016772275.1
Hippea,GCF_000194135.1
Hirschia,GCF_000023785.1
Histophilus,GCF_000019405.1
Hoeflea,GCF_000154705.2
Hoylesella,GCF_020735565.1
Hoyosella,GCF_000214175.1
Humibacter,GCF_007859675.1
Hydrocarboniclastica,GCF_004851605.1
Hydrogenobacter,GCF_000164905.1
Hydrogenophaga,GCF_001761385.1
Hydrogenophilus,GCF_003574215.1
Hydrogenovibrio,GCF_004028275.1
Hymenobacter,GCF_022827545.1
Hypericibacter,GCF_008728855.1
Hyphococcus,GCF_028748065.1
Hyphomicrobium,GCF_000503895.1
Hyphomonas,GCF_000013025.1
Iamia,GCF_028532485.1
Ichthyobacterium,GCF_002369955.1
Ideonella,GCF_021049305.1
Idiomarina,GCF_000008465.1
Ignavibacterium,GCF_000258405.1
Ignavigranum,GCF_023195815.2
Ilumatobacter,GCF_000348785.1
Ilyobacter,GCF_000165505.1
Immundisolibacter,GCF_001697225.1
Indioceanicola,GCF_003568845.1
Inhella,GCF_005952805.1
Intestinibaculum,GCF_003925875.1
Intrasporangium,GCF_000184685.1
Iocasia,GCF_017751145.1
Iodobacter,GCF_003952345.1
Isoalcanivorax,GCF_000299335.2
Isoptericola,GCF_001636295.1
Isorropodon,GCF_016592615.1
Isosphaera,GCF_000186345.1
Janibacter,GCF_003721155.3
Janthinobacterium,GCF_013372045.1
Jatrophihabitans,GCF_023516435.1
Jejubacter,GCF_005671395.1
Jeotgalibaca,GCF_003955755.1
Jeotgalibacillus,GCF_000818095.1
Jeotgalicoccus,GCF_000756715.1
Jiangella,GCF_900105925.1
Jinshanibacter,GCF_004295645.1
Jonesia,GCF_900475835.1
Kaistella,GCF_900638245.1
Kaustia,GCF_015482775.1
Keratinibaculum,GCF_016767175.1
Ketobacter,GCF_002863865.1
Ketogulonicigenium,GCF_001399515.1
Kibdelosporangium,GCF_001302585.1
Kineobactrum,GCF_010669285.1
Kineococcus,GCF_000017305.1
Kingella,GCF_014054985.1
Kiritimatiella,GCF_001017655.1
Kitasatospora,GCF_000269985.1
Klebsiella,GCF_003261575.2
Kluyvera,GCF_023195735.1
Kocuria,GCF_001580365.1
Komagataeibacter,GCF_002173515.1
Kordia,GCF_009901525.1
Kordiimonas,GCF_015240255.1
Kosakonia,GCF_008330085.1
Kosmotoga,GCF_000023325.1
Kovacikia,GCF_020091585.1
Kozakia,GCF_001787355.1
Kribbella,GCF_014217565.1
Kroppenstedtia,GCF_013282215.1
Ktedonosporobacter,GCF_004208415.1
Kushneria,GCF_002157205.1
Kutzneria,GCF_028622115.1
Kyrpidia,GCF_000092905.1
Labilibaculum,GCF_002356295.1
Labilithrix,GCF_001263205.1
Lachnoanaerobaculum,GCF_003589745.1
Lachnoclostridium,GCF_000018685.1
Lacinutrix,GCF_001971745.1
Lacipirellula,GCF_009177095.1
Lacrimispora,GCF_026723765.1
Lacticaseibacillus,GCF_009184845.1
Lactiplantibacillus,GCF_003641185.1
Lactobacillus,GCF_016647595.1
Lactococcus,GCF_003627095.1
Lacunisphaera,GCF_001746835.1
Lancefieldella,GCF_000024225.1
Lapidilactobacillus,GCF_008831385.1
Larkinella,GCF_026248825.1
Latilactobacillus,GCF_900258455.1
Lautropia,GCF_900637555.1
Lawsonella,GCF_001293125.1
Lawsonia,GCF_000331715.1
Leadbettera,GCF_000214355.1
Leadbetterella,GCF_000166395.1
Leclercia,GCF_001518835.1
Lederbergia,GCF_900478165.1
Leeuwenhoekiella,GCF_020310025.1
Legionella,GCF_002848365.2
Leifsonia,GCF_000470775.1
Leisingera,GCF_000511355.1
Lelliottia,GCF_019355955.1
Leminorella,GCF_900478135.1
Lentibacillus,GCF_001307805.1
Lentilactobacillus,GCF_009832765.1
Lentisphaera,GCF_028728065.1
Lentzea,GCF_001701025.1
Leptolyngbya,GCF_002142475.1
Leptospira,GCF_002073495.2
Leptospirillum,GCF_000284315.1
Leptothermofonsia,GCF_019891175.1
Leptothrix,GCF_000019785.1
Leptotrichia,GCF_007990365.1
Leucobacter,GCF_011299575.1
Leuconostoc,GCF_016127255.1
Levilactobacillus,GCF_001050435.1
Liberibacter,GCF_001543305.1
Lichenicola,GCF_013201075.1
Ligilactobacillus,GCF_900116935.1
Lignipirellula,GCF_007751035.1
Limihaloglobus,GCF_001999965.1
Limnobaculum,GCF_003096015.2
Limnochorda,GCF_001544015.1
Limnoglobus,GCF_008254045.1
Limnospira,GCF_000973065.1
Limosilactobacillus,GCF_014898655.1
Liquorilactobacillus,GCF_009184705.1
Listeria,GCF_003534205.1
Litorilituus,GCF_004295665.1
Litorivicinus,GCF_009650135.1
Loigolactobacillus,GCF_009650015.1
Loktanella,GCF_024206795.1
Longicatena,GCF_018406465.1
Lonsdalea,GCF_003515985.1
Luteibacter,GCF_023699965.1
Luteimicrobium,GCF_009429125.1
Luteipulveratus,GCF_001190945.1
Luteitalea,GCF_001618865.1
Luteithermobacter,GCF_005849285.1
Luteolibacter,GCF_012913485.1
Lutibacter,GCF_001543325.1
Lysinibacillus,GCF_016638705.1
Lysobacter,GCF_002355295.1
Macrococcus,GCF_024205965.1
Mageeibacillus,GCF_000025225.2
Magnetococcus,GCF_000014865.1
Magnetospirillum,GCF_000009985.1
Mahella,GCF_000213255.1
Maioricimonas,GCF_007747795.1
Malaciobacter,GCF_003346775.1
Malacoplasma,GCF_000011225.1
Mammaliicoccus,GCF_002209165.2
Mangrovibacillus,GCF_015482585.1
Mangrovivirga,GCF_005166025.1
Mannheimia,GCF_002285575.1
Maribacter,GCF_002269385.1
Maribellus,GCF_009762775.1
Marichromatium,GCF_000224005.2
Maridesulfovibrio,GCF_000023445.1
Marinagarivorans,GCF_021655555.1
Mariniblastus,GCF_008087665.1
Marinicauda,GCF_017161425.1
Marinithermus,GCF_000195335.1
Marinitoga,GCF_000255135.1
Marinobacter,GCF_002116735.1
Marinobacterium,GCF_001651805.1
Marinomonas,GCF_000192865.1
Mariprofundus,GCF_002795805.1
Marisediminicola,GCF_009930795.1
Marivirga,GCF_000183425.1
Marmoricola,GCF_900104965.1
Martelella,GCF_002043005.1
Marvinbryantia,GCF_025148285.1
Massilia,GCF_002752675.1
Massilistercora,GCF_900312975.1
Megalodesulfovibrio,GCF_000468495.1
Megamonas,GCF_019974115.1
Megasphaera,GCF_003315775.1
Meiothermus,GCF_000376665.1
Melaminivora,GCF_003008575.1
Melioribacter,GCF_000279145.1
Melissococcus,GCF_003966875.1
Melittangium,GCF_002305855.1
Mergibacter,GCF_003265225.1
Mesobacillus,GCF_002874535.1
Mesoflavibacter,GCF_014764305.1
Mesomycoplasma,GCF_000941075.1
Mesoplasma,GCF_002843565.1
Mesotoga,GCF_000147715.2
Metabacillus,GCF_009720625.1
Metamycoplasma,GCF_024297005.1
Methylacidiphilum,GCF_000019665.1
Methylibium,GCF_000015725.1
Methylobacillus,GCF_000013705.1
Methylobacterium,GCF_000022085.1
Methylocaldum,GCF_003584645.1
Methyloceanibacter,GCF_000828475.1
Methylocella,GCF_000021745.1
Methylococcus,GCF_012769535.1
Methylocystis,GCF_004802635.2
Methylogaea,GCF_019669985.1
Methylomagnum,GCF_019670005.1
Methylomicrobium,GCF_000214275.2
Methylomonas,GCF_000785705.2
Methylomusa,GCF_003966895.1
Methylophilus,GCF_006363915.1
Methylorubrum,GCF_000083545.1
Methylotenera,GCF_000093025.1
Methylotuvimicrobium,GCF_005931095.1
Methylovirgula,GCF_004135935.1
Methylovorus,GCF_000023745.1
Methylovulum,GCF_002209385.1
Micavibrio,GCF_000226315.1
Microbacterium,GCF_021172025.1
Microbulbifer,GCF_020991125.1
Microcella,GCF_012530535.1
Micrococcus,GCF_019890915.1
Microlunatus,GCF_900105385.1
Micromonospora,GCF_900091495.1
Micropruina,GCF_900289045.1
Microterricola,GCF_900104895.1
Microvenator,GCF_007993755.1
Microvirga,GCF_002741015.1
Microvirgula,GCF_003051865.1
Mixta,GCF_009914055.1
Mobiluncus,GCF_000196535.1
Moellerella,GCF_022592395.1
Mogibacterium,GCF_002243385.1
Monoglobus,GCF_002874775.1
Moorella,GCF_009735625.1
Moraxella,GCF_025985205.1
Morganella,GCF_902387845.1
Moritella,GCF_008931805.1
Morococcus,GCF_022749515.1
Mucilaginibacter,GCF_000166195.2
Mucisphaera,GCF_007748075.1
Mucispirillum,GCF_000487995.2
Murdochiella,GCF_900119705.1
Muribaculum,GCF_004803695.1
Muricauda,GCF_011068285.1
Muriicola,GCF_004139715.1
Musicola,GCF_000023545.1
Mycetohabitans,GCF_000198775.1
Mycoavidus,GCF_003966915.1
Mycobacterium,GCF_002157835.1
Mycobacteroides,GCF_001605725.1
Mycolicibacillus,GCF_010731835.1
Mycolicibacter,GCF_019645815.1
Mycolicibacterium,GCF_010727475.1
Mycoplasma,GCF_000200735.1
Mycoplasmoides,GCF_024498275.1
Mycoplasmopsis,GCF_900660645.1
Myroides,GCF_000833025.1
Myxococcus,GCF_000331735.1
Nakamurella,GCF_000024365.1
