"","species","assembly_accession","Goodman_r","Goodman_pvalue","Cambray_r","Cambray_pvalue"
"168","Bermanella","GCF_012295615.1",0.2476,0.0586,0.2897,0.026
"169","Bernardetia","GCF_000265505.1",-0.1411,0.2863,-0.1345,0.3098
"170","Berryella","GCF_000814825.1",0.624,0,0.5906,0
"171","Beutenbergia","GCF_000023105.1",0.5532,0,0.3545,0.0059
"172","Bibersteinia","GCF_000521725.1",0.3615,0.0049,0.323,0.0126
"173","Bifidobacterium","GCF_001042635.1",0.6398,0,0.5991,0
"174","Biomaibacter","GCF_003691585.1",0.4741,1e-04,0.4845,1e-04
"175","Bisgaardia","GCF_013377195.1",0.3477,0.007,0.2514,0.0548
"176","Blastochloris","GCF_003966715.1",0.6101,0,0.5403,0
"177","Blastomonas","GCF_003431825.1",0.6643,0,0.5253,0
"178","Blattabacterium","GCF_014251295.1",-0.1179,0.374,-0.2461,0.0602
"179","Blautia","GCF_010669205.1",0.6134,0,0.6306,0
"180","Bombilactobacillus","GCF_003522965.1",0.6134,0,0.2781,0.0329
"181","Bordetella","GCF_001676745.1",0.6034,0,0.5438,0
"182","Bosea","GCF_001741865.1",0.6467,0,0.5216,0
"183","Botrimarina","GCF_007753265.1",0.5286,0,0.4468,4e-04
"184","Boudabousia","GCF_001856685.1",0.5222,0,0.5656,0
"185","Brachyspira","GCF_000223215.1",0.0926,0.4856,0.1577,0.2329
"186","Bradymonas","GCF_003258315.1",0.6906,0,0.5971,0
"187","Brasilonema","GCF_006968745.1",0.413,0.0012,0.2747,0.0353
"188","Bremerella","GCF_007748115.1",0.6462,0,0.4791,1e-04
"189","Brenneria","GCF_002291445.1",0.7352,0,0.5627,0
"190","Brevefilum","GCF_900184705.1",0.724,0,0.6241,0
"191","Brevibacillus","GCF_900637055.1",0.6817,0,0.4668,2e-04
"192","Brevibacterium","GCF_900105045.1",0.628,0,0.5541,0
"193","Brochothrix","GCF_001703515.1",0.5185,0,0.2122,0.1067
"194","Brucella","GCF_015326295.1",0.711,0,0.5171,0
"195","Buchnera","GCF_003099975.1",-0.3539,0.006,-0.2391,0.0681
"196","Burkholderia","GCF_000012945.1",0.6123,0,0.4757,1e-04
"197","Buttiauxella","GCF_022637515.1",0.7746,0,0.4761,1e-04
"198","Butyricimonas","GCF_003991565.1",0.6236,0,0.5971,0
"199","Butyrivibrio","GCF_000145035.1",0.4991,1e-04,0.5365,0
"200","Bythopirellula","GCF_008065115.1",0.582,0,0.597,0
"201","Caballeronia","GCF_022879815.1",0.6351,0,0.494,1e-04
"202","Caenibius","GCF_003860345.1",0.6895,0,0.4487,4e-04
"203","Caldalkalibacillus","GCF_019856495.1",0.5594,0,0.4848,1e-04
"204","Caldanaerobacter","GCF_000007085.1",0.1811,0.1698,0.0612,0.645
"205","Caldicellulosiruptor","GCF_000016545.1",0.3377,0.0089,0.1906,0.1482
"206","Caldichromatium","GCF_011290485.1",0.5445,0,0.5338,0
"207","Caldilinea","GCF_000281175.1",0.7043,0,0.6045,0
"208","Caldimicrobium","GCF_001548275.1",0.1847,0.1613,0.1761,0.182
"209","Caldimonas","GCF_001017435.1",0.6494,0,0.4997,1e-04
"210","Caldinitratiruptor","GCF_025999835.1",0.5827,0,0.435,6e-04
"211","Caldisericum","GCF_000284335.1",0.2139,0.1038,0.2372,0.0705
"212","Calditerrivibrio","GCF_000183405.1",0.3454,0.0074,0.5009,1e-04
"213","Caldithrix","GCF_001886815.1",0.6682,0,0.5497,0
"214","Calothrix","GCF_002368095.1",0.0537,0.6863,-0.0904,0.4958
"215","Calycomorphotria","GCF_007745435.1",0.6709,0,0.4962,1e-04
"216","Caminibacter","GCF_005083985.2",0.0893,0.5011,0.0724,0.5858
"217","Campylobacter","GCF_004803795.1",0.5116,0,0.4982,1e-04
"218","Candidatus","GCF_009002475.1",0.6725,0,0.5814,0
"219","Capnocytophaga","GCF_002209445.1",0.4712,2e-04,0.5399,0
"220","Caproicibacter","GCF_014303955.1",0.6783,0,0.5279,0
"221","Carboxydothermus","GCF_000012865.1",0.4655,2e-04,0.2942,0.0237
"222","Cardinium","GCF_936981045.1",0.4284,7e-04,0.2793,0.0322
"223","Cardiobacterium","GCF_900637305.1",0.6667,0,0.4699,2e-04
"224","Carnobacterium","GCF_001703555.1",0.5395,0,0.3125,0.0159
"225","Casimicrobium","GCF_009746125.1",0.6203,0,0.5447,0
"226","Castellaniella","GCF_000612685.1",0.5798,0,0.5434,0
"227","Catenovulum","GCF_007289895.1",0.5372,0,0.3561,0.0056
"228","Catenulispora","GCF_000024025.1",0.6119,0,0.4696,2e-04
"229","Caulifigura","GCF_007745175.1",0.5833,0,0.4705,2e-04
"230","Caulobacter","GCF_010977555.1",0.571,0,0.5005,1e-04
"231","Cedecea","GCF_002393445.1",0.7014,0,0.5664,0
"232","Celeribacter","GCF_000819565.1",0.6917,0,0.5654,0
"233","Celerinatantimonas","GCF_914590485.1",0.648,0,0.3772,0.0032
"234","Cellulomonas","GCF_000212695.1",0.5426,0,0.3923,0.0021
"235","Cellulophaga","GCF_000186265.1",0.2264,0.0847,0.1247,0.3466
"236","Cellulosilyticum","GCF_000178835.2",0.35,0.0066,0.2775,0.0333
"237","Cellulosimicrobium","GCF_009708005.2",0.4701,2e-04,0.4275,7e-04
"238","Cellvibrio","GCF_008120875.1",0.5591,0,0.5077,0
"239","Cereibacter","GCF_000021005.1",0.6701,0,0.5531,0
"240","Chamaesiphon","GCF_000317145.1",0.4465,4e-04,0.1806,0.1711
"241","Changchengzhania","GCF_006974145.1",0.4539,3e-04,0.3791,0.0031
"242","Chania","GCF_000520015.2",0.7784,0,0.5214,0
"243","Chenggangzhangella","GCF_019797865.1",0.5936,0,0.4851,1e-04
"244","Chitinimonas","GCF_007431345.1",0.5528,0,0.5534,0
"245","Chitinolyticbacter","GCF_008033135.1",0.5338,0,0.5342,0
"246","Chitinophaga","GCF_000024005.1",0.665,0,0.4986,1e-04
"247","Chlamydiifrater","GCF_902806995.1",0.1772,0.1794,0.3337,0.0098
"248","Chloracidobacterium","GCF_000226295.1",0.6857,0,0.4527,3e-04
"249","Chlorobaculum","GCF_001747405.1",0.6574,0,0.5605,0
"250","Chlorobium","GCF_000015125.1",0.6891,0,0.5914,0
"251","Chloroflexus","GCF_000018865.1",0.616,0,0.4786,1e-04
"252","Chloroherpeton","GCF_000020525.1",0.6952,0,0.4972,1e-04
"253","Chondromyces","GCF_001189295.1",0.5836,0,0.5169,0
"254","Chordicoccus","GCF_019355395.1",0.6571,0,0.5694,0
"255","Christensenella","GCF_003628755.1",0.6819,0,0.6283,0
"256","Christiangramia","GCF_003024155.1",0.619,0,0.5762,0
"257","Chromobacterium","GCF_020544465.1",0.6541,0,0.5793,0
"258","Chromohalobacter","GCF_000055785.1",0.6733,0,0.6308,0
"259","Chroococcidiopsis","GCF_000317125.1",0.4122,0.0012,0.0279,0.8338
"260","Chryseobacterium","GCF_003815875.1",0.5489,0,0.4886,1e-04
"261","Chryseolinea","GCF_003589925.1",0.7132,0,0.6161,0
"262","Chthonomonas","GCF_000427095.1",0.6704,0,0.6458,0
"263","Ciceribacter","GCF_014126615.1",0.6903,0,0.5765,0
"264","Citrifermentans","GCF_000020725.1",0.6489,0,0.6576,0
"265","Citrobacter","GCF_021278985.1",0.7329,0,0.5449,0
"266","Clavibacter","GCF_009739655.1",0.5722,0,0.4473,4e-04
"267","Cloacibacillus","GCF_001701045.1",0.6575,0,0.5959,0
"268","Cloacibacterium","GCF_003860565.1",0.2577,0.0488,0.1137,0.3912
"269","Clostridioides","GCF_018885085.1",0.0183,0.8907,-0.0183,0.8907
"270","Clostridium","GCF_000340885.1",0.2938,0.0239,0.2193,0.0951
"271","Cnuibacter","GCF_002096055.1",0.617,0,0.5227,0
"272","Cobetia","GCF_020217465.1",0.6339,0,0.5658,0
"273","Cognaticolwellia","GCF_002076895.1",0.3994,0.0017,0.3314,0.0104
"274","Cohnella","GCF_012849095.1",0.6674,0,0.5607,0
"275","Collimonas","GCF_001584145.1",0.6497,0,0.5658,0
"276","Collinsella","GCF_020735465.1",0.7111,0,0.602,0
"277","Colwellia","GCF_000012325.1",0.3465,0.0072,0.3058,0.0185
"278","Comamonas","GCF_020886175.1",0.5615,0,0.6022,0
"279","Companilactobacillus","GCF_000831645.3",0.5426,0,0.3743,0.0035
"280","Conchiformibius","GCF_014054725.1",0.3254,0.0119,0.3635,0.0047
"281","Conexibacter","GCF_000025265.1",0.4919,1e-04,0.4167,0.001
"282","Congregibacter","GCF_000153125.2",0.6814,0,0.6368,0
"283","Constantimarinum","GCF_014295415.1",0.5589,0,0.5709,0
"284","Coprococcus","GCF_016904155.1",0.6665,0,0.5505,0
"285","Coprothermobacter","GCF_000020945.1",0.326,0.0118,0.4574,3e-04
"286","Coraliomargarita","GCF_000025905.1",0.6311,0,0.5407,0
"287","Corallococcus","GCF_000255295.1",0.5719,0,0.5575,0
"288","Coriobacterium","GCF_000195315.1",0.6926,0,0.5914,0
"289","Corynebacterium","GCF_020886775.1",0.5142,0,0.51,0
"290","Costertonia","GCF_013402795.1",0.5489,0,0.5702,0
"291","Coxiella","GCF_000007765.2",0.5655,0,0.2762,0.0342
"292","Crassaminicella","GCF_019884785.1",0.1457,0.2707,0.1281,0.3337
"293","Crateriforma","GCF_007752935.1",0.5577,0,0.3759,0.0033
"294","Crenobacter","GCF_003355495.1",0.5519,0,0.5208,0
"295","Crinalium","GCF_000317495.1",0.0946,0.4759,-0.071,0.5929
"296","Croceibacter","GCF_000196315.1",-0.1108,0.4034,-0.0413,0.7563
"297","Croceibacterium","GCF_001008165.2",0.663,0,0.5222,0
"298","Croceicoccus","GCF_014211955.1",0.6219,0,0.4975,1e-04
"299","Crocosphaera","GCF_000017845.1",0.2361,0.0718,0.2061,0.1174
"300","Cronobacter","GCF_001277235.1",0.7823,0,0.5224,0
"301","Cruoricaptor","GCF_014961145.1",0.5888,0,0.6075,0
"302","Cryobacterium","GCF_003611035.1",0.6007,0,0.5517,0
"303","Cryptobacterium","GCF_000023845.1",0.5502,0,0.2424,0.0643
"304","Cupriavidus","GCF_008801925.2",0.64,0,0.5722,0
"305","Curtobacterium","GCF_017909455.1",0.5291,0,0.3983,0.0018
"306","Cutibacterium","GCF_001717565.1",0.5973,0,0.2115,0.1078
"307","Cyanobacterium","GCF_000317675.1",-0.1416,0.2848,-0.026,0.8452
"308","Cyanobium","GCF_000316515.1",0.5301,0,0.4717,2e-04
"309","Cyclobacterium","GCF_000222485.1",0.4555,3e-04,0.6341,0
"310","Cyclonatronum","GCF_003353065.1",0.7075,0,0.5988,0
"311","Cylindrospermopsis","GCF_014489415.1",0.0279,0.8338,0.2153,0.1014
"312","Cylindrospermum","GCF_000317535.1",0.3347,0.0096,0.2977,0.022
"313","Cytobacillus","GCF_023823875.1",0.4167,0.001,0.3539,0.006
"314","Cytophaga","GCF_000014145.1",0.6472,0,0.3674,0.0042
"315","Dactylococcopsis","GCF_000317615.1",0.4168,0.001,0.2645,0.0429
"316","Dactylosporangium","GCF_019904175.1",0.5814,0,0.4684,2e-04
"317","Deferribacter","GCF_000010985.1",0.029,0.8271,0.2438,0.0628
"318","Defluviicoccus","GCF_014672695.1",0.6795,0,0.4912,1e-04
"319","Defluviitoga","GCF_000953715.1",-0.1834,0.1643,-0.2802,0.0316
"320","Dehalobacter","GCF_009796305.1",0.5684,0,0.4425,4e-04
"321","Dehalobacterium","GCF_002224645.1",0.685,0,0.589,0
"322","Dehalococcoides","GCF_000830905.1",0.6848,0,0.5876,0
"323","Dehalogenimonas","GCF_001953175.1",0.6743,0,0.6208,0
"324","Deinococcus","GCF_025997855.1",0.5312,0,0.4258,8e-04
"325","Delftia","GCF_016027815.1",0.5578,0,0.5479,0
"326","Denitratisoma","GCF_902813185.1",0.6134,0,0.6444,0
"327","Denitrobacterium","GCF_001643775.1",0.6669,0,0.6135,0
"328","Denitrovibrio","GCF_000025725.1",0.6073,0,0.5153,0
"329","Dermabacter","GCF_001678905.1",0.5718,0,0.3608,0.005
"330","Dermacoccus","GCF_000725405.1",0.4998,1e-04,0.3289,0.011
"331","Dermatophilus","GCF_900187045.1",0.3908,0.0022,0.0926,0.4855
"332","Desulfarculus","GCF_000143965.1",0.6631,0,0.5707,0
"333","Desulfatibacillum","GCF_000021905.1",0.6472,0,0.663,0
"334","Desulfitobacterium","GCF_000021925.1",0.653,0,0.5808,0
"335","Desulfobacca","GCF_000195295.1",0.6705,0,0.5962,0
"336","Desulfobacter","GCF_004319545.1",0.6443,0,0.673,0
"337","Desulfobacula","GCF_000307105.1",0.6579,0,0.6379,0
"338","Desulfobulbus","GCF_000186885.1",0.6861,0,0.6234,0
"339","Desulfocapsa","GCF_000341395.1",0.639,0,0.5898,0
"340","Desulfococcus","GCF_002009335.2",0.6497,0,0.6569,0
"341","Desulfocurvibacter","GCF_000212675.2",0.6553,0,0.62,0
"342","Desulfofarcimen","GCF_000024205.1",0.5465,0,0.4397,5e-04
"343","Desulfoglaeba","GCF_005377625.1",0.6421,0,0.5657,0
"344","Desulfohalobium","GCF_000024325.1",0.6961,0,0.5112,0
"345","Desulfomicrobium","GCF_000023225.1",0.6568,0,0.6321,0
"346","Desulfomonile","GCF_000266945.1",0.6207,0,0.5806,0
"347","Desulfonema","GCF_017377395.1",0.6449,0,0.6447,0
"348","Desulforamulus","GCF_000215085.1",0.6291,0,0.5582,0
"349","Desulforapulum","GCF_000020365.1",0.6859,0,0.6898,0
"350","Desulfosarcina","GCF_009688985.1",0.7079,0,0.658,0
"351","Desulfoscipio","GCF_000233715.2",0.6214,0,0.5651,0
"352","Desulfosediminicola","GCF_005116655.2",0.6545,0,0.5537,0
"353","Desulfosporosinus","GCF_000235605.1",0.5561,0,0.4586,3e-04
"354","Desulfosudis","GCF_000018405.1",0.6145,0,0.6393,0
"355","Desulfotalea","GCF_000025945.1",0.6157,0,0.6551,0
"356","Desulfovibrio","GCF_013376455.1",0.5984,0,0.6019,0
"357","Desulfurispirillum","GCF_000177635.2",0.6853,0,0.5918,0
"358","Desulfurivibrio","GCF_000092205.1",0.7122,0,0.6532,0
"359","Desulfurobacterium","GCF_000191045.1",-0.0508,0.7025,-0.2752,0.0349
"360","Devosia","GCF_007859655.1",0.6072,0,0.5601,0
"361","Devriesea","GCF_900070355.1",0.4287,7e-04,0.1174,0.3758
"362","Dialister","GCF_007164725.1",0.6059,0,0.4908,1e-04
"363","Diaphorobacter","GCF_014395975.1",0.6015,0,0.6209,0
"364","Dichelobacter","GCF_000015345.1",0.667,0,0.1514,0.2523
"365","Dickeya","GCF_002812485.1",0.7687,0,0.5122,0
"366","Dictyoglomus","GCF_000020965.1",-0.052,0.6959,0.0282,0.8322
"367","Dietzia","GCF_003096075.1",0.6213,0,0.5036,0
"368","Dinoroseobacter","GCF_000018145.1",0.6493,0,0.6102,0
"369","Dissulfurimicrobium","GCF_022026155.1",0.4349,6e-04,0.5751,0
"370","Dissulfurispira","GCF_014701235.1",0.2552,0.0511,0.4393,5e-04
"371","Dokdonella","GCF_001632775.1",0.6435,0,0.5184,0
"372","Dokdonia","GCF_001653755.1",0.1561,0.2377,0.3398,0.0085
"373","Dolichospermum","GCF_024584745.1",0.0368,0.7818,-0.0173,0.8963
"374","Dolosigranulum","GCF_003263915.2",0.6222,0,0.3906,0.0022
