"acc","GC_mean","GC3_mean"
"Aliivibrio","39.4764795144158","31.3072230652504"
"Alistipes","58.8094405594406","75.772465034965"
"Alkalicella","36.4281140861467","29.4351135040745"
"Alkalilimnicola","67.8117110799439","86.0405715287518"
"Alkaliphilus","37.0123617436565","31.1201431359792"
"Alkalitalea","40.1659064994299","36.9389139110604"
"Alloalcanivorax","62.2033663822919","75.7203412497118"
"Allobacillus","39.9285714285714","35.3944110942249"
"Allochromatium","64.5239144115796","79.8480522341095"
"Allocoleopsis","46.9438080495356","44.6798328173375"
"Allofrancisella","32.5100193923723","21.6026050420168"
"Allokutzneria","70.7942614513639","91.6730018013381"
"Allomeiothermus","63.3387321977101","78.0584976263614"
"Allorhizobium","58.4158361018826","67.611792174234"
"Allosaccharopolyspora","68.9810155535224","86.360478042086"
"Allosphingosinicella","67.3774689100219","84.1430541331383"
"Alteracholeplasma","29.1500348918353","17.1190300069784"
"Altererythrobacter","61.9481998530492","74.1922116091109"
"Alteromonas","44.1052631578947","40.1794736842105"
"Alysiella","47.2026548672566","50.5019557522124"
"Amedibacterium","34.1937686726419","24.9769782330346"
"Aminipila","37.4468759911196","31.599416428798"
"Aminobacterium","45.60718113612","41.9986120042872"
"Aminomonas","67.972539079003","87.2992226446979"
"Ammonifex","59.8818823529412","72.2254729411765"
"Amphibacillus","36.0284482758621","26.0363663793103"
"Amphritea","51.8629070316187","55.706906559698"
"Amycolatopsis","71.7203335471456","92.4657408595253"
"Amylolactobacillus","44.4111111111111","45.9913202614379"
"Anabaena","39.3568115444082","29.7420597835423"
"Anabaenopsis","41.4245947850599","33.0432910500352"
"Anaerobacillus","36.2241171749599","27.7863222311396"
"Anaerobutyricum","39.0099821746881","33.4559536541889"
"Anaerococcus","34.8373648996397","28.9070355120947"
"Anaerocolumna","38.8797894736842","35.5029347368421"
"Anaerohalosphaera","53.1232142857143","61.5828422619048"
"Anaerolinea","54.5061728395062","60.1530766731644"
"Anaerostipes","45.0855789161978","48.5409890435298"
"Anaerotignum","39.9205788916343","36.1616378397459"
"Anaerotruncus","54.9302186283318","63.8311710092842"
"Anaplasma","42.738430583501","38.6966398390342"
"Anatilimnocola","58.2134848258335","67.2108715802063"
"Ancylobacter","67.5781183482333","85.0241677309493"
"Aneurinibacillus","46.4447606727038","45.3878551099612"
"Anoxybacillus","57.1699125035281","71.1512418854078"
"Anoxybacter","36.4045275590551","28.1968864829396"
"Antarcticibacterium","41.4909934497817","40.5936080786026"
"Apibacter","32.9782837127846","24.1777232924694"
"Aquabacterium","67.723236175429","86.4799400708254"
"Aquella","36.9412474849095","27.4114567404427"
"Aquibium","68.0378339609109","87.8432616101847"
"Aquicella","48.1802302500992","51.3902818578801"
"Aquifex","43.1631823461092","47.2142915214866"
"Aquiflexum","39.9276910435497","38.822783483977"
"Aquiluna","55.0595150624541","61.1804849375459"
"Aquincola","69.5977305417932","89.4585871823558"
"Aquirhabdus","47.191270081843","43.9761655046984"
"Aquirufa","38.1826254826255","31.8419884169884"
"Aquisediminimonas","58.8575376112987","65.5232790911882"
"Aquisphaera","70.6216180719727","92.2450932492776"
"Aquitalea","59.5639097744361","70.6803884711779"
"Arabiibacter","67.078853046595","89.7050573476702"
"Arachidicoccus","42.2147623019183","41.1594495412844"
"Arachnia","66.643587994543","84.3570463847203"
"Arcanobacterium","50.6141272621133","47.6676240513719"
"Archangium","69.5093501394772","91.0699710713917"
"Arcobacter","27.501478803812","13.0514327965823"
"Arcticibacterium","37.6709065679926","31.8016003700278"
"Arenibacter","40.4282695964505","40.8881470526093"
"Arenimonas","68.4561475409836","86.9366680327869"
"Aristophania","44.3601359003397","35.4847734994338"
"Aromatoleum","66.1826474331778","84.0449299957573"
"Arsenophonus","40.0447103274559","34.1615113350126"
"Arthrobacter","64.9338119811532","79.8017881983397"
"Asaia","60.4841562269713","68.5497641857038"
"Asticcacaulis","60.3968934118907","71.8358087841457"
"Athalassotoga","40.4840206185567","40.6760670103093"
"Atlantibacter","56.006968641115","65.4784367015099"
"Aurantiacibacter","58.6893588896233","64.9608592200925"
"Aurantimicrobium","54.857984678845","57.6694814378315"
"Auraticoccus","73.2218344965105","94.9087013958126"
"Aureibaculum","32.5454119850187","22.7792017790262"
"Aureimonas","68.5847986386841","87.9769540555871"
"Aureliella","55.5913757700205","61.1114630390144"
"Avibacterium","41.5159620362381","36.8486410698878"
"Azoarcus","68.1429648241206","86.9695050251256"
"Azorhizobium","67.7635551775463","86.2874080374229"
"Azospira","69.2702924296256","91.0866384257994"
"Azospirillum","69.0984768511537","89.3845920675615"
"Azotobacter","66.2843331136014","84.2727290705339"
"Bacillus","35.3853211009174","25.6440163098879"
"Bacteriovorax","41.182393252504","38.8866420664207"
"Bacteroides","43.7846756152125","44.2922110365399"
"Baekduia","74.2636165577342","95.7099504852446"
"Barnesiella","53.0828887977021","66.1696389002872"
"Basfia","43.3161875945537","41.1462682803833"
"Basilea","40.7944615384615","34.3627384615385"
"Bathymodiolus","38.2879924953096","33.2447373358349"
"Bdellovibrio","50.9656040268456","58.0568400447427"
"Beggiatoa","41.4051675184554","33.869863713799"
"Beijerinckia","58.0938416422287","65.8306238336444"
"Belliella","37.3392418871012","32.3285574038724"
"Bermanella","44.4817927170868","41.5129474011827"
"Bernardetia","31.5405541561713","19.2260906801008"
"Berryella","64.1521739130435","83.6544082125604"
"Beutenbergia","73.2208073041807","93.9453676117251"
"Bibersteinia","41.2295643661282","33.8815956926089"
"Bifidobacterium","65.2417138237672","86.3000202101859"
"Biomaibacter","44.2677004095963","46.1151404330018"
"Bisgaardia","34.2756202804746","20.7176375404531"
"Blastochloris","68.9132053852764","88.0417358922945"
"Blastomonas","64.5774610715228","79.4178411190288"
"Blattabacterium","27.820819112628","16.6290102389078"
"Blautia","46.2081729888217","49.9886219534543"
"Bombilactobacillus","35.1703659268146","24.1642771445711"
"Bordetella","67.4477872670807","85.6403319099379"
"Bosea","65.990455817015","83.417250287971"
"Botrimarina","64.6344037727375","81.0315495171794"
"Boudabousia","52.6443418013857","53.5167205542725"
"Brachyspira","28.2373719533734","16.0664288237372"
"Bradymonas","61.9740932642487","77.8256094900464"
"Brasilonema","43.4887822992418","36.9737552220331"
"Bremerella","56.8271749755621","67.3071554252199"
"Brenneria","53.7453291814947","60.7369617437722"
"Brevefilum","50.1284318287576","53.7929362494183"
"Brevibacillus","47.5856541450777","50.3486771373057"
"Brevibacterium","63.8738485158649","78.2160209825998"
"Brochothrix","36.7575887131253","26.8506113723814"
"Brucella","57.0641638225256","64.2759886234357"
"Buchnera","26.2629757785467","12.4855882352941"
"Burkholderia","66.9230564784053","85.1436199335548"
"Buttiauxella","50.8435643564356","53.5172673267327"
"Butyricimonas","44.7332361516035","48.9762657920311"
"Butyrivibrio","40.6140770252324","37.2054342629482"
"Bythopirellula","53.4799192734611","56.9346659939455"
"Caballeronia","63.8087248322148","79.4856375838926"
"Caenibius","61.8162696401419","71.8406639635074"
"Caldalkalibacillus","47.9125326370757","51.2320202349869"
"Caldanaerobacter","37.6335182250396","33.3219136291601"
"Caldicellulosiruptor","35.4154642989271","30.2660747317795"
"Caldichromatium","61.5165489029379","72.6496392711045"
"Caldilinea","59.5682102628285","69.5470938673342"
"Caldimicrobium","38.5261945883708","32.4869660333909"
"Caldimonas","67.6099981276914","86.2048024714473"
"Caldinitratiruptor","71.1863949655379","90.9760833083608"
"Caldisericum","35.4745989304813","27.5661096256684"
"Calditerrivibrio","35.8951881848499","32.1628013339686"
"Caldithrix","45.5680362860192","50.0147411953042"
"Calothrix","37.9594652867615","27.9973983038666"
"Calycomorphotria","54.5400535670806","60.8048380813246"
"Caminibacter","33.7812979049566","29.1146295350026"
"Campylobacter","46.2079796264856","52.8294779286927"
"Candidatus","39.8044478527607","36.1378450920245"
"Capnocytophaga","38.0716881400727","33.8943541460192"
"Caproicibacter","52.4595918367347","61.3309442176871"
"Carboxydothermus","42.0075093867334","39.8799249061327"
"Cardinium","38.5325814536341","32.3678320802005"
"Cardiobacterium","59.630825838103","72.1211529026983"
"Carnobacterium","35.4487926727727","25.4258159866778"
"Casimicrobium","62.8771348457813","76.4056181493755"
"Castellaniella","69.2193083573487","89.6931152737752"
"Catenovulum","41.0148565573771","35.4223898565574"
"Catenulispora","70.2243001246741","89.9846072764366"
"Caulifigura","63.3893457943925","78.5627514018692"
"Caulobacter","69.2963525835866","89.8211189209727"
"Cedecea","55.1084312512884","63.19130282416"
"Celeribacter","66.2800426894344","83.5681088580576"
"Celerinatantimonas","44.4823290845886","40.4126361529548"
"Cellulomonas","74.6804812834225","96.0040962566845"
"Cellulophaga","34.0569973320398","24.7511472228959"
"Cellulosilyticum","34.6472289156627","24.1915228915663"
"Cellulosimicrobium","74.0450495049505","95.3402301980198"
"Cellvibrio","52.5564561207378","57.506408608161"
"Cereibacter","69.408453993461","88.6725221858944"
"Chamaesiphon","46.2110843373494","43.5307084337349"
"Changchengzhania","35.2215011286682","28.8382505643341"
"Chania","51.7507039202946","55.550329218107"
"Chenggangzhangella","68.5693839452396","86.6611532876996"
"Chitinimonas","61.0808058925477","74.1014991334489"
"Chitinolyticbacter","64.1295516472628","79.5927049789448"
"Chitinophaga","46.0506636220922","47.9873369487655"
"Chlamydiifrater","41.1728016359918","36.5621881390593"
"Chloracidobacterium","61.3807588075881","71.4997696476965"
"Chlorobaculum","57.3091844813935","71.3980205859066"
"Chlorobium","48.9495671810312","50.7542491531803"
"Chloroflexus","57.1804227478611","60.4885832913941"
"Chloroherpeton","45.7244212098581","47.5759185959671"
"Chondromyces","68.5972811174857","85.595609877775"
"Chordicoccus","56.559583632448","69.7398600143575"
"Christensenella","52.060188542422","60.3691624365482"
"Christiangramia","40.16608811749","38.3364058744993"
"Chromobacterium","64.7475832438238","82.8881331901182"
"Chromohalobacter","64.520954420312","80.5976323034567"
"Chroococcidiopsis","45.3486820153487","40.2093743743744"
"Chryseobacterium","37.0666394112837","32.6995421095666"
"Chryseolinea","51.3759217456734","63.298460496614"
"Chthonomonas","55.2808631057658","59.5154297842236"
"Ciceribacter","63.4404504114335","78.887672152447"
"Citrifermentans","60.8585291113381","79.5367926455567"
"Citrobacter","55.320265638389","63.7323650385604"
"Clavibacter","72.8091701646755","95.0062350661931"
"Cloacibacillus","56.2683165092804","69.237036795832"
"Cloacibacterium","33.4904665314402","25.426247464503"
"Clostridioides","29.4420269109648","16.5911537360435"
"Clostridium","30.1528852920479","18.0249753694581"
"Cnuibacter","70.9341066140178","92.2074308983218"
"Cobetia","63.4100456621005","78.7490471841705"
"Cognaticolwellia","39.3962962962963","31.3359391534392"
"Cohnella","50.7768715409263","59.1942193416837"
"Collimonas","59.9891236143066","73.5441748588161"
"Collinsella","63.8720930232558","82.649812942366"
"Colwellia","38.7423059255857","30.0997978870005"
"Comamonas","62.2815296989422","75.7835435313263"
"Companilactobacillus","37.712","32.6010273684211"
"Conchiformibius","51.307953443259","54.3714403491756"
"Conexibacter","72.902630679877","93.8035138366929"
"Congregibacter","58.1986155484558","66.4156922257721"
"Constantimarinum","40.7141785446362","39.0538072018005"
"Coprococcus","43.0315139701105","41.8336127355426"
"Coprothermobacter","44.8383404864092","43.8000572246066"
"Coraliomargarita","53.9225375626043","60.7783973288815"
"Corallococcus","70.0731461664359","91.9157257962986"
"Coriobacterium","60.6543909348442","74.1710368271955"
"Corynebacterium","70.7557485947879","91.2339959121104"
"Costertonia","39.8387923668471","39.8663970378809"
"Coxiella","43.2962356792144","40.9726132024004"
"Crassaminicella","31.6332487309645","20.5748680203046"
"Crateriforma","57.8822278089344","67.2770972732547"
"Crenobacter","66.1233377659574","86.510861037234"
"Crinalium","41.0966810966811","32.014289837147"
"Croceibacter","34.0497925311203","23.3634703885326"
"Croceibacterium","62.2855799373041","73.4157084639498"
"Croceicoccus","65.1873072970195","80.7259840698869"
"Crocosphaera","38.3966789667897","29.3626732267323"
"Cronobacter","58.3098964603901","69.7038911630147"
"Cruoricaptor","45.8194583751254","51.6434202607823"
"Cryobacterium","68.830303030303","88.3864065656566"
"Cryptobacterium","51.4680210684725","49.8987810383747"
"Cupriavidus","65.7156570242574","82.2867557400441"
"Curtobacterium","71.0546961325967","92.059726519337"
"Cutibacterium","60.4562274368231","69.5633348375451"
"Cyanobacterium","38.7921799678629","29.0714729512587"
"Cyanobium","69.244593359732","87.1137861711849"
"Cyclobacterium","38.9957037643208","35.7126698036007"
"Cyclonatronum","51.947963800905","57.4176438267615"
"Cylindrospermopsis","40.8287309048179","33.4077878965922"
"Cylindrospermum","43.0439471989697","37.1787701223438"
"Cytobacillus","37.6543832428239","30.9823758727696"
"Cytophaga","39.1849615806806","35.5030461031833"
"Dactylococcopsis","42.3236353560543","36.0001330008313"
"Dactylosporangium","72.5625","93.2656586538462"
"Deferribacter","30.2540008206812","21.0820722199426"
"Defluviicoccus","63.7723805700522","76.3610999598555"
"Defluviitoga","31.6407713498623","21.567261707989"
"Dehalobacter","45.051906779661","46.7008580508475"
"Dehalobacterium","43.6529694061188","43.9541151769646"
"Dehalococcoides","49.6669064748201","53.0528201438849"
"Dehalogenimonas","54.8871124031008","65.1068410852713"
"Deinococcus","70.0875320239112","89.3265051238258"
"Delftia","66.7292084554853","84.2692840611017"
"Denitratisoma","62.6733733995297","77.0127515024824"
"Denitrobacterium","60.1160249739854","74.6771019771072"
"Denitrovibrio","43.2169651909429","42.3526900980061"
"Dermabacter","63.0369815092454","75.5586406796602"
"Dermacoccus","69.3452468680914","88.5111753868828"
"Dermatophilus","59.5751458052939","65.6301211305518"
"Desulfarculus","66.2841463414634","85.7981219512195"
"Desulfatibacillum","55.1867364746946","68.2106030637968"
"Desulfitobacterium","48.0158796489762","51.5010697868784"
"Desulfobacca","53.9080908445706","61.396788502484"
"Desulfobacter","47.2779291553134","50.4134968210718"
"Desulfobacula","41.9484440315838","40.8704969809568"
"Desulfobulbus","59.0542259921236","72.9058860951227"
"Desulfocapsa","45.9723596159441","44.2486179807972"
"Desulfococcus","57.3677419354839","69.7952177419355"
"Desulfocurvibacter","62.2661268556005","78.9069311740891"
"Desulfofarcimen","41.8856790123457","39.8872641975309"
"Desulfoglaeba","59.5568022440393","72.0512482468443"
"Desulfohalobium","57.6728243021347","68.2340517241379"
"Desulfomicrobium","59.1060382916053","73.3869013254786"
"Desulfomonile","50.648052197275","54.419167146421"
"Desulfonema","45.5173927727119","46.519871664978"
"Desulforamulus","48.0276301806589","51.7690462274176"
"Desulforapulum","49.3928496319663","54.4031650893796"
"Desulfosarcina","54.0470454867507","63.3203330026924"
"Desulfoscipio","46.1824231298761","47.59187012391"
"Desulfosediminicola","45.0794551645857","42.4186568293606"
"Desulfosporosinus","43.2829680891965","40.9791041906959"
"Desulfosudis","56.8715988994191","69.3025466218282"
"Desulfotalea","47.2577251808021","47.3888823142669"
"Desulfovibrio","63.7915816326531","80.8506403061224"
"Desulfurispirillum","56.4419695193435","67.3756819069949"
"Desulfurivibrio","60.9356568364611","74.7354691689008"
"Desulfurobacterium","34.6144736842105","23.8096184210526"
"Devosia","64.2145768400863","80.4888012467034"
"Devriesea","60.4663900414938","67.4431576763485"
"Dialister","49.5016455101081","55.6910155148096"
"Diaphorobacter","64.9935079471681","82.3161965524961"
"Dichelobacter","44.8763693270736","42.0040610328639"
"Dickeya","57.6059031877214","68.7759031877214"
"Dictyoglomus","33.786717062635","24.7583693304536"
"Dietzia","71.1394285714286","91.2895571428571"
"Dinoroseobacter","65.9634527530656","83.0894758355374"
"Dissulfurimicrobium","50.0327595780122","54.5626762909495"
"Dissulfurispira","38.9252256123765","34.28978513107"
"Dokdonella","70.3690914237192","90.2776478913105"
"Dokdonia","38.6567216567217","30.5787434187434"
"Dolichospermum","38.5269485073132","28.5091264275696"
"Dolosigranulum","40.2142440163456","35.0691243432574"
"Dongshaea","51.65","57.6976045454545"
"Draconibacterium","40.6663298812832","38.3375827229098"
"Duffyella","56.0176696542894","63.7977746478873"
"Duganella","63.1776304309894","80.0152067701972"
"Duncaniella","49.0371100164204","53.5858325123153"
"Duodenibacillus","57.8290854572714","67.881644177911"
"Echinicola","44.6767546683838","47.8216934964585"
"Edaphobacter","57.3278511144774","66.2704804154945"
"Edwardsiella","59.3576622677081","71.2949798007002"
"Eggerthella","66.8390670553936","89.9464460641399"
"Egibacter","71.6271227559437","89.871627850558"
"Egicoccus","72.5530537573881","91.8947818744723"
"Ehrlichia","30.5097826086957","18.4702826086957"
"Eikenella","57.1649976156414","67.7677253218884"
"Elizabethkingia","36.6842853756814","30.8030907798056"
"Elusimicrobium","40.6732673267327","38.4585544554455"
"Empedobacter","31.9848214285714","22.2316517857143"
"Endomicrobium","39.1253753753754","35.6173273273273"
"Endozoicomonas","48.7592443729904","50.5831229903537"
"Ensifer","63","78.3813608027976"
"Enterobacter","56.2655018112082","66.3091391434051"
"Enterobacteriaceae","20.8552036199095","5.35545248868778"
"Enterocloster","49.7766873278237","56.7805733471074"
"Enterococcus","40.230966418867","36.7928736221482"
"Entomomonas","38.7951967978652","29.6311941294196"
"Entomoplasma","35.608","26.05272"
"Entomospira","46.4897832817337","48.9161424148607"
"Ephemeroptericola","49.4772822009171","51.5624176740308"
"Epidermidibacterium","67.6365092073659","84.9649613023752"
"Epilithonimonas","36.7728512960437","33.313809686221"
"Ereboglobus","60.0872034747745","74.2274741062479"
"Erwinia","55.6805849936414","64.458009749894"
"Erysipelothrix","38.0122699386503","31.1421165644172"
"Escherichia","51.2266745236692","54.0553997250049"
"Ethanoligenens","56.2401182120429","68.0603435537495"
"Eubacterium","48.4342956694873","54.4694201095072"
"Euhalothece","41.4297321697262","32.830261811616"
"Euzebya","70.7706001101119","90.3189227381171"
"Euzebyella","40.5698084677419","39.7596320564516"
"Evansella","36.5154048244567","28.4640482445665"
"Exiguobacterium","47.4182352941177","48.4241617647059"
"Ezakiella","37.5362411802437","34.9625208466966"
"Faecalibacillus","29.4720194647202","16.4203892944039"
"Faecalibacterium","57.3633144475921","71.3926735127479"
"Faecalibaculum","54.8363317244405","65.2432953049583"
"Falsihalocynthiibacter","53.7727622467299","57.2813234162606"
"Fastidiosipila","34.0898491083676","24.3282784636488"
"Fenollaria","35.078431372549","29.7188655462185"
"Ferribacterium","60.8365484880083","74.3222627737226"
"Ferrigenium","61.0733944954128","77.5498790658882"
"Ferrimonas","61.0643069440692","75.211750878141"
"Ferriphaselus","56.4333204483958","65.6218592964824"
"Ferrovibrio","64.3173711214268","80.4390080625458"
"Ferrovum","55.1191037735849","60.2823231132075"
"Fervidobacterium","40.9375928677563","40.538603268945"
"Fibrella","57.1383371418527","69.8020056248901"
"Fibrobacter","49.0042235217674","55.9089766081871"
"Fictibacillus","39.5443886097152","34.2309978463747"
"Filifactor","36.4164096236891","31.5311967921036"
"Filimonas","44.3970272502064","44.8387233691164"
"Fimbriimonas","61.2067464635473","74.9820239390642"
"Flammeovirga","35.0165184243964","27.6150208749319"
"Flaviflexus","60.1517893870835","70.4298848210613"
"Flavisolibacter","42.005126102112","39.804305925774"
"Flavivirga","34.2355939716312","26.5856848404255"
"Flavobacterium","34.7020062942565","27.0630546813533"
"Flavonifractor","62.0217679851341","79.4522086541014"
"Flexistipes","38.6780551905388","36.5060578186597"
"Fluoribacter","40.0709417596035","34.4830483271375"
"Fluviibacter","54.5060975609756","58.9799869337979"
"Fluviicola","36.7895660897918","30.5715425131678"
"Fluviispira","34.3566796368353","25.3295654993515"
"Formicincola","60.6890353505093","68.1583822648292"
"Formosa","34.1105398457584","24.4734904313053"
"Francisella","32.1427140711067","19.9653380070105"
"Frankia","72.8029172320217","91.0046590909091"
"Frederiksenia","43.0518480492813","39.5270277207392"
"Fretibacterium","63.5491299897646","82.9950409416581"
"Friedmanniella","73.9170743070114","95.723307710226"
"Frigidibacter","66.785046728972","82.7102024922118"
"Frischella","35.0880758807588","23.6989656729901"
"Fuerstiella","56.0565915355927","62.7784935949408"
"Furfurilactobacillus","44.2734157034675","42.3096851335193"
"Fuscovulum","66.858934169279","82.7278540894842"
"Fusobacterium","30.9606474135195","18.5125007933989"
"Gallaecimonas","53.1590048674959","58.5203677663602"
"Gallionella","53.3053112908899","59.2458177981006"
"Gemella","31.2969879518072","19.0184397590361"
"Geminocystis","34.6307615230461","25.1464228456914"
"Gemmata","64.6266521159209","80.6703310294653"
"Gemmatimonas","65.4438020351526","79.9854579093432"
"Gemmatirosa","73.0160879260911","94.138802166295"
"Geobacillus","52.5166861826698","60.914306206089"
"Geobacter","59.9551556698086","75.1134047415024"
"Geodermatophilus","74.2045593323835","94.5640464074903"
"Georgenia","72.187244480785","92.5507849550286"
"Georhizobium","62.7639705882353","76.3412475490196"
"Geosporobacter","38.9518211601465","34.8759028714589"
"Geotalea","54.7058688147296","65.2217353279632"
"Geovibrio","48.7948622486969","54.9830491437081"
"Gephyromycinifex","67.211793440335","82.6109316120028"
"Gibbsiella","56.9063702436939","67.2225865754596"
"Gilliamella","34.7246376811594","23.0218914901524"
"Gimesia","53.7472977399279","59.8626301998035"
"Glaciecola","42.9917864476386","39.4480023467292"
"Glaesserella","40.3971698113208","33.2631367924528"
"Gleimia","57.6952112676056","64.8634929577465"
"Gloeomargarita","53.0229965156794","57.7961393728223"
"Gloeothece","40.4748994488306","33.0456934306569"
"Gluconacetobacter","67.0183328559152","82.8557433400172"
"Gluconobacter","60.3720465890183","68.6341930116473"
"Glutamicibacter","64.7052482269504","81.7898666666667"
"Glycocaulis","63.8330366678533","75.5180740477038"
"Gordonia","67.6379539836471","84.8841509792736"
"Gottschalkia","30.6465517241379","18.7610310344828"
"Gracilibacillus","36.8435630401064","28.6984489253268"
"Gracilinema","45.411430599929","42.5050621228257"
"Granulibacter","59.6793176972281","65.7963113006397"
"Granulicatella","37.9198682766191","30.0912294182217"
"Granulicella","58.8365650969529","69.4745237587897"
"Granulosicoccus","53.4652389819988","57.2435242085661"
"Grimontia","50.1932650073206","53.1122489019034"
"Gryllotalpicola","69.5413000283849","89.4059977292081"
"Gudongella","42.8927911275416","43.058646025878"
"Gulosibacter","64.6705128205128","79.9389102564103"
"Gynuella","48.5028193661287","50.0319696675092"
"Haematobacter","64.8806009488666","78.5973642593569"
"Haematospirillum","56.0352080475537","58.3577549154092"
"Haemophilus","43.1151484135107","38.4512026612078"
"Hafnia","48.8311506080449","49.2782226379794"
"Hahella","54.1281926931781","62.4339605560944"
"Halalkalibacterium","43.8971327967807","41.7984456740443"
"Halanaerobium","33.7018526497199","22.5604394657475"
"Halarcobacter","29.5971896955504","17.0444730679157"
"Haliangium","69.6675591253905","89.2131845902127"
"Halioglobus","57.3011452368558","65.8292998438313"
"Haliscomenobacter","47.4149507609669","52.3837197851388"
"Halobacillus","41.9462557310239","38.8220453387672"
"Halobacteriovorax","37.1764887380438","31.0263128663993"
"Halobacteroides","32.5152013147083","19.3373705834018"
"Halomicronema","55.1770958684316","60.2986782992379"
"Halomonas","55.2049689440994","60.0012679374598"
"Halopseudomonas","60.4021372328459","72.6747806524184"
"Halorhodospira","56.2266231114741","60.4037974683544"
"Halothermothrix","38.4443504020313","33.9254845535336"
"Halothiobacillus","55.1987012987013","61.4051515151515"
"Hankyongella","65.5327171903882","78.7423955637708"
"Haploplasma","28.2357436801881","15.5036272780717"
"Hartmannibacter","64.6442663378545","81.6567036580353"
"Hathewaya","29.7415372361609","18.2283990442055"
"Helicobacter","38.8284220532319","35.1239211026616"
"Heliomicrobium","57.7762609025408","70.2248312476299"
"Heliorestis","43.3017875920084","38.1483385909569"
"Herbaspirillum","63.1227714748784","79.4796859805511"
"Herbinix","35.9233449477352","29.3545034843206"
"Herminiimonas","52.1355439208842","55.4394706224549"
"Heyndrickxia","36.1636860407352","28.0938002980626"
"Hippea","37.4176470588235","34.7084352941176"
"Hirschia","45.8843106180666","39.281765451664"
"Histophilus","37.7621189405297","28.4055872063968"
"Hoeflea","60.4521119842829","71.7356949901768"
"Hoylesella","46.2866666666667","52.0705215686274"
"Hoyosella","62.6056402092336","71.7136547646122"
"Humibacter","68.4944338854195","87.1938229704046"
"Hydrocarboniclastica","58.2827643171806","67.3522824889868"
"Hydrogenobacter","43.994161358811","46.1982484076433"
"Hydrogenophaga","61.6976430976431","74.6833041526375"
"Hydrogenophilus","61.8499298737728","72.3619167835437"
"Hydrogenovibrio","51.2872205820329","59.6228848587094"
"Hymenobacter","56.6245195225572","66.6540724256524"
"Hypericibacter","66.3203050524309","85.163304099142"
