file_name,organism,url,database,path,refseq_category,assembly_accession,bioproject,biosample,taxid,infraspecific_name,version_status,release_type,genome_rep,seq_rel_date,submitter
GCF_000010525.1_genomic_refseq.fna.gz,GCF_000010525.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1/GCF_000010525.1_ASM1052v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000010525.1,PRJNA224116,SAMD00060925,438753,strain=ORS 571,latest,Major,Full,16/10/07,University of Tokyo
GCF_000010665.1_genomic_refseq.fna.gz,GCF_000010665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/665/GCF_000010665.1_ASM1066v1/GCF_000010665.1_ASM1066v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000010665.1,PRJNA224116,SAMD00060954,573370,strain=RS-1,latest,Major,Full,11/06/09,National Institute of Technology and Evaluation
GCF_000010985.1_genomic_refseq.fna.gz,GCF_000010985.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/985/GCF_000010985.1_ASM1098v1/GCF_000010985.1_ASM1098v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000010985.1,PRJNA224116,SAMD00060965,639282,strain=SSM1,latest,Major,Full,05/03/10,Japan Agency for Marine-Earth Science and Technology
GCF_000011225.1_genomic_refseq.fna.gz,GCF_000011225.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/225/GCF_000011225.1_ASM1122v1/GCF_000011225.1_ASM1122v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000011225.1,PRJNA224116,SAMD00061084,272633,strain=HF-2,latest,Major,Full,11/05/04,NIID Japan
GCF_000011345.1_genomic_refseq.fna.gz,GCF_000011345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/345/GCF_000011345.1_ASM1134v1/GCF_000011345.1_ASM1134v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000011345.1,PRJNA224116,SAMD00061106,197221,strain=BP-1,latest,Major,Full,11/05/04,Kazusa
GCF_000011965.2_genomic_refseq.fna.gz,GCF_000011965.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2/GCF_000011965.2_ASM1196v2_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000011965.2,PRJNA224116,SAMN02604003,246200,strain=DSS-3,latest,Major,Full,10/12/13,TIGR
GCF_000012325.1_genomic_refseq.fna.gz,GCF_000012325.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/325/GCF_000012325.1_ASM1232v1/GCF_000012325.1_ASM1232v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012325.1,PRJNA224116,SAMN02604001,167879,strain=34H; BAA-681,latest,Major,Full,26/07/05,TIGR
GCF_000012525.1_genomic_refseq.fna.gz,GCF_000012525.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/525/GCF_000012525.1_ASM1252v1/GCF_000012525.1_ASM1252v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012525.1,PRJNA224116,SAMN02598254,1140,strain=PCC 7942,latest,Major,Full,08/11/05,DOE Joint Genome Institute
GCF_000012665.1_genomic_refseq.fna.gz,GCF_000012665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/665/GCF_000012665.1_ASM1266v1/GCF_000012665.1_ASM1266v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012665.1,PRJNA224116,SAMN02598492,207559,strain=G20,latest,Major,Full,28/10/05,DOE Joint Genome Institute
GCF_000012865.1_genomic_refseq.fna.gz,GCF_000012865.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/865/GCF_000012865.1_ASM1286v1/GCF_000012865.1_ASM1286v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012865.1,PRJNA224116,SAMN02603998,246194,strain=Z-2901,latest,Major,Full,21/10/05,TIGR
GCF_000012885.1_genomic_refseq.fna.gz,GCF_000012885.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1/GCF_000012885.1_ASM1288v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012885.1,PRJNA224116,SAMN02598295,338963,strain=DSM 2380,latest,Major,Full,30/03/06,DOE Joint Genome Institute
GCF_000012925.1_genomic_refseq.fna.gz,GCF_000012925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/925/GCF_000012925.1_ASM1292v1/GCF_000012925.1_ASM1292v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012925.1,PRJNA224116,SAMN02598399,269799,strain=GS-15,latest,Major,Full,27/10/05,DOE Joint Genome Institute
GCF_000012945.1_genomic_refseq.fna.gz,GCF_000012945.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/945/GCF_000012945.1_ASM1294v1/GCF_000012945.1_ASM1294v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012945.1,PRJNA224116,SAMN02598262,482957,strain=383,latest,Major,Full,20/10/05,DOE Joint Genome Institute
GCF_000012985.1_genomic_refseq.fna.gz,GCF_000012985.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/985/GCF_000012985.1_ASM1298v1/GCF_000012985.1_ASM1298v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000012985.1,PRJNA224116,SAMN02603483,349521,strain=KCTC 2396,latest,Major,Full,14/12/05,Korea Research Institute of Bioscience and Biotechnology (KRIBB)
GCF_000013025.1_genomic_refseq.fna.gz,GCF_000013025.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/025/GCF_000013025.1_ASM1302v1/GCF_000013025.1_ASM1302v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000013025.1,PRJNA224116,SAMN02604041,228405,strain=ATCC 15444,latest,Major,Full,18/09/06,TIGR
GCF_000013405.1_genomic_refseq.fna.gz,GCF_000013405.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/405/GCF_000013405.1_ASM1340v1/GCF_000013405.1_ASM1340v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000013405.1,PRJNA224116,SAMN02603418,56780,strain=SB,latest,Major,Full,26/01/06,Integrated Genomics
GCF_000013665.1_genomic_refseq.fna.gz,GCF_000013665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/665/GCF_000013665.1_ASM1366v1/GCF_000013665.1_ASM1366v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000013665.1,PRJNA224116,SAMN02598483,203122,strain=2-40,latest,Major,Full,17/03/06,DOE Joint Genome Institute
GCF_000013705.1_genomic_refseq.fna.gz,GCF_000013705.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/705/GCF_000013705.1_ASM1370v1/GCF_000013705.1_ASM1370v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000013705.1,PRJNA224116,SAMN02598256,265072,strain=KT,latest,Major,Full,10/04/06,DOE Joint Genome Institute
GCF_000013885.1_genomic_refseq.fna.gz,GCF_000013885.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1/GCF_000013885.1_ASM1388v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000013885.1,PRJNA224116,SAMN02598307,323097,strain=X14,latest,Major,Full,11/04/06,DOE Joint Genome Institute
GCF_000014145.1_genomic_refseq.fna.gz,GCF_000014145.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/145/GCF_000014145.1_ASM1414v1/GCF_000014145.1_ASM1414v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000014145.1,PRJNA224116,SAMN02598536,269798,strain=ATCC 33406,latest,Major,Full,11/07/06,DOE Joint Genome Institute
GCF_000014725.1_genomic_refseq.fna.gz,GCF_000014725.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/725/GCF_000014725.1_ASM1472v1/GCF_000014725.1_ASM1472v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000014725.1,PRJNA224116,SAMN02598286,335541,strain=Goettingen,latest,Major,Full,14/09/06,DOE Joint Genome Institute
GCF_000014785.1_genomic_refseq.fna.gz,GCF_000014785.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/785/GCF_000014785.1_ASM1478v1/GCF_000014785.1_ASM1478v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000014785.1,PRJNA224116,SAMN02598349,187272,strain=MLHE-1,latest,Major,Full,12/09/06,DOE Joint Genome Institute
GCF_000014865.1_genomic_refseq.fna.gz,GCF_000014865.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1/GCF_000014865.1_ASM1486v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000014865.1,PRJNA224116,SAMN02598452,156889,strain=MC-1,latest,Major,Full,08/11/06,US DOE Joint Genome Institute
GCF_000014965.1_genomic_refseq.fna.gz,GCF_000014965.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/965/GCF_000014965.1_ASM1496v1/GCF_000014965.1_ASM1496v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000014965.1,PRJNA224116,SAMN02598285,335543,strain=MPOB,latest,Major,Full,26/10/06,US DOE Joint Genome Institute
GCF_000015025.1_genomic_refseq.fna.gz,GCF_000015025.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/025/GCF_000015025.1_ASM1502v1/GCF_000015025.1_ASM1502v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015025.1,PRJNA224116,SAMN02598358,351607,strain=11B; ATCC 43068,latest,Major,Full,09/11/06,DOE Joint Genome Institute
GCF_000015045.1_genomic_refseq.fna.gz,GCF_000015045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/045/GCF_000015045.1_ASM1504v1/GCF_000015045.1_ASM1504v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015045.1,PRJNA224116,SAMN02598297,338966,strain=DSM 2379,latest,Major,Full,30/11/06,US DOE Joint Genome Institute
GCF_000015125.1_genomic_refseq.fna.gz,GCF_000015125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/125/GCF_000015125.1_ASM1512v1/GCF_000015125.1_ASM1512v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015125.1,PRJNA224116,SAMN02598273,290317,strain=DSM 266,latest,Major,Full,11/12/06,US DOE Joint Genome Institute
GCF_000015285.1_genomic_refseq.fna.gz,GCF_000015285.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/285/GCF_000015285.1_ASM1528v1/GCF_000015285.1_ASM1528v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015285.1,PRJNA224116,SAMN02598361,357804,strain=37,latest,Major,Full,22/12/06,DOE Joint Genome Institute
GCF_000015345.1_genomic_refseq.fna.gz,GCF_000015345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/345/GCF_000015345.1_ASM1534v1/GCF_000015345.1_ASM1534v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015345.1,PRJNA224116,SAMN02603972,246195,strain=VCS1703A,latest,Major,Full,04/05/07,TIGR
GCF_000015505.1_genomic_refseq.fna.gz,GCF_000015505.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/505/GCF_000015505.1_ASM1550v1/GCF_000015505.1_ASM1550v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015505.1,PRJNA224116,SAMN02598302,365044,strain=CJ2,latest,Major,Full,04/01/07,DOE Joint Genome Institute
GCF_000015565.1_genomic_refseq.fna.gz,GCF_000015565.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/565/GCF_000015565.1_ASM1556v1/GCF_000015565.1_ASM1556v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015565.1,PRJNA224116,SAMN02598379,391735,strain=EF01-2,latest,Major,Full,09/01/07,DOE Joint Genome Institute
GCF_000015665.1_genomic_refseq.fna.gz,GCF_000015665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/665/GCF_000015665.1_ASM1566v1/GCF_000015665.1_ASM1566v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015665.1,PRJNA224116,SAMN02603924,167542,strain=MIT 9515,latest,Major,Full,19/01/07,The Gordon and Betty Moore Foundation Marine Microbiology Initiative
GCF_000015725.1_genomic_refseq.fna.gz,GCF_000015725.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/725/GCF_000015725.1_ASM1572v1/GCF_000015725.1_ASM1572v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000015725.1,PRJNA224116,SAMN02598264,420662,strain=PM1,latest,Major,Full,29/01/07,DOE Joint Genome Institute
GCF_000016185.1_genomic_refseq.fna.gz,GCF_000016185.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/185/GCF_000016185.1_ASM1618v1/GCF_000016185.1_ASM1618v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016185.1,PRJNA224116,SAMN02603908,414684,strain=SW; ATCC 51521,latest,Major,Full,17/02/10,TGen
GCF_000016285.1_genomic_refseq.fna.gz,GCF_000016285.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1/GCF_000016285.1_ASM1628v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016285.1,PRJNA224116,SAMN02602976,311402,strain=S4,latest,Major,Full,27/01/09,Agrobacterium consortium
GCF_000016425.1_genomic_refseq.fna.gz,GCF_000016425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/425/GCF_000016425.1_ASM1642v1/GCF_000016425.1_ASM1642v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016425.1,PRJNA224116,SAMN02598367,369723,strain=CNB-440,latest,Major,Full,17/04/07,US DOE Joint Genome Institute
GCF_000016545.1_genomic_refseq.fna.gz,GCF_000016545.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/545/GCF_000016545.1_ASM1654v1/GCF_000016545.1_ASM1654v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016545.1,PRJNA224116,SAMN00623033,351627,strain=DSM 8903,latest,Major,Full,19/04/07,US DOE Joint Genome Institute
GCF_000016645.1_genomic_refseq.fna.gz,GCF_000016645.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/645/GCF_000016645.1_ASM1664v1/GCF_000016645.1_ASM1664v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016645.1,PRJNA224116,SAMN02598357,376686,strain=UW101; ATCC 17061,latest,Major,Full,01/05/07,US DOE Joint Genome Institute
GCF_000016745.1_genomic_refseq.fna.gz,GCF_000016745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/745/GCF_000016745.1_ASM1674v1/GCF_000016745.1_ASM1674v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016745.1,PRJNA224116,SAMN02598352,351605,strain=Rf4,latest,Major,Full,11/05/07,US DOE Joint Genome Institute
GCF_000016985.1_genomic_refseq.fna.gz,GCF_000016985.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/985/GCF_000016985.1_ASM1698v1/GCF_000016985.1_ASM1698v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000016985.1,PRJNA224116,SAMN02598282,293826,strain=QYMF,latest,Major,Full,28/06/07,US DOE Joint Genome Institute
GCF_000017265.1_genomic_refseq.fna.gz,GCF_000017265.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/265/GCF_000017265.1_ASM1726v1/GCF_000017265.1_ASM1726v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000017265.1,PRJNA224116,SAMN02603048,450851,strain=HLK1,latest,Major,Full,18/08/08,"Cancer Institute, The Second Affiliated Hospital, Zhejiang University Medical School"
GCF_000017305.1_genomic_refseq.fna.gz,GCF_000017305.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/305/GCF_000017305.1_ASM1730v1/GCF_000017305.1_ASM1730v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000017305.1,PRJNA224116,SAMN02598259,266940,strain=SRS30216,latest,Major,Full,14/08/08,US DOE Joint Genome Institute
GCF_000017565.1_genomic_refseq.fna.gz,GCF_000017565.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/565/GCF_000017565.1_ASM1756v1/GCF_000017565.1_ASM1756v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000017565.1,PRJNA224116,SAMN00623055,402881,strain=DS-1,latest,Major,Full,30/07/07,US DOE Joint Genome Institute (JGI-PGF)
GCF_000017805.1_genomic_refseq.fna.gz,GCF_000017805.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/805/GCF_000017805.1_ASM1780v1/GCF_000017805.1_ASM1780v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000017805.1,PRJNA224116,SAMN02598306,383372,strain=DSM 13941,latest,Major,Full,23/08/07,US DOE Joint Genome Institute
GCF_000017845.1_genomic_refseq.fna.gz,GCF_000017845.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/845/GCF_000017845.1_ASM1784v1/GCF_000017845.1_ASM1784v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000017845.1,PRJNA224116,SAMN02604312,43989,strain=ATCC 51142,latest,Major,Full,01/04/08,Washington University (WashU)
GCF_000018105.1_genomic_refseq.fna.gz,GCF_000018105.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1/GCF_000018105.1_ASM1810v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000018105.1,PRJNA224116,SAMN02604308,329726,strain=MBIC11017,latest,Major,Full,16/10/07,Washington University
