run,chi
171,58664.499750294606
172,58623.324105743275
173,59211.878304043625
174,58756.97123204877
175,58058.90561769196
176,60142.910429927324
177,58707.510047479285
178,59377.16265259423
179,59732.063447026914
180,59554.69271953897
181,60464.11360039052
182,59406.485549854
183,59672.75376017058
184,59695.74721551657
185,59493.26405795563
186,59462.39022662509
187,59419.246222658425
188,59315.638555069716
189,60918.32073401445
190,58288.742447507524
191,59171.91868849163
192,58841.43596865325
193,59103.24819524381
194,58349.551923774685
195,59103.0498644732
196,58166.00620615753
197,57946.3644017806
198,59830.69436749649
199,60702.004978351084
200,59474.18543552088
201,58316.90036148327
202,59631.96664897713
203,58506.23965941723
204,58686.25248387469
205,60348.15582165108
206,59042.0201048757
207,58399.34159262038
208,58238.75286354604
209,59364.332839952986
210,58577.7027854524
211,60446.079622429956
212,61191.51029628356
213,60799.19695651819
214,59049.19036519612
215,58911.78739212752
216,59663.393688721604
217,59815.292328593045
218,58007.983425029306
219,60392.24259428284
220,59177.741680228915
221,59654.803744218734
222,59211.12922819148
223,59858.21631243484
224,59396.1507494252
225,59908.42600570125
226,60163.05319837321
227,60249.52495072012
228,59744.029235349764
229,60157.70104981101
230,59660.91930764948
231,59916.16815724084
232,59798.525556112065
233,58706.72780604515
234,58205.20690155706
235,58736.84925567899
236,59494.04406690416
237,58586.32032961347
238,58615.362550511934
239,59820.12635345088
240,59873.46642035544
241,59232.02798586662
242,60296.229199394904
243,58740.58660791302
244,59418.88450818379
245,59605.34158999585
246,59263.53395025893
247,57634.06858052472
248,59680.17338769767
249,58403.38616044421
250,59292.69912242835
251,57916.780145347475
252,59279.58509664616
253,58936.51269961314
254,59943.62720333091
255,60131.1836014796
256,58968.708526023576
257,58651.676413223635
258,59385.61623318914
259,59636.59244877102
260,59076.266743178625
261,60400.2878435964
262,59101.35650002506
263,59272.90531985577
264,59337.589480034425
265,58254.125946498476
266,60358.54422703319
267,58960.46606995018
268,59356.97308383542
269,59938.68781914204
270,58241.38311288587
271,59132.46549329694
272,59274.246194938874
273,58644.1812880728
274,59484.17364903673
275,57697.416160479785
276,60355.88684693446
277,57993.495684249894
278,58952.35219527222
279,58743.69791635008
280,59092.692549873966
281,57654.10415137125
282,58860.69369371021
283,59332.54589330743
284,59519.69716774725
285,59731.95857702955
286,59132.805269302095
287,60117.195042183186
288,59425.582851788735
289,59941.82529468315
290,59895.05222149055
291,60037.64007700029
292,61068.280209824276
293,61011.448104195195
294,57761.19359970342
295,59782.11127658426
296,59821.192934719795
297,59188.54697677544
298,59087.07085553246
299,59381.99910951107
300,59386.409540236695
301,60533.47802307546
302,59474.66039285781
303,58700.61130010057
304,59372.36625307601
305,59173.84971057075
306,59822.74783243679
307,59934.48307299474
308,59152.006566205644
309,58209.04680905214
310,59974.64810743471
311,58928.29677958781
312,59856.12003486262
313,58834.43501881523
314,58399.87373062086
315,59385.39933090319
316,57892.737133294824
317,59997.59198470244
318,58740.6081250629
319,58974.97291868589
320,59247.81201522366
321,60192.92625497836
322,61261.3234017116
323,59247.04412479386
324,58607.029240895085
325,59250.042586013755
326,60884.77378417729
327,59794.58480045451
328,60100.506623431145
329,58861.286422872814
330,58448.262048597644
331,60682.61946532694
332,60308.65258707995
333,59901.7031099949
334,59817.51472330914
335,57916.58091394826
336,60760.08539716143
337,59152.32156767064
338,59654.92037229275
339,59604.68606012109
340,59640.73199623873
341,60225.19343929853
342,58181.37697329479
343,59127.202281504906
344,60068.566546338465
345,60185.7269765697
346,58543.51151212421
347,58779.86517564928
348,57942.16367440043
349,59682.93105166711
350,59019.74046499981
351,60171.3147049634
352,59167.33614258571
353,59026.08292570702
354,59217.43477144532
355,60290.205968030226
356,59678.63922269926
357,59262.82075690116
358,58798.78570868634
359,58651.10146752968
360,59938.83595638992
361,58138.408966943854
362,59948.772001912585
363,59701.526441555594
364,59591.94956855567
365,58635.09685938346
366,59996.797185774754
367,58999.748615497716
368,59547.32175964371
369,59391.98997759403
370,60333.745012392705
371,59382.84655220217
372,58101.91579752515
373,61033.517270622884
374,60649.3572741872
375,60781.34541678639
376,60538.31076118559
377,59530.724939347296
378,59459.71801314294
379,58690.47824919925
380,58742.82113206749
381,59057.777305307514
382,58479.3767003182
383,58848.25599557251
384,59804.10421701598
385,59434.77811710438
386,59775.93565959208
387,58936.304687905365
388,59294.25688236657
389,60538.382780608474
390,60323.29763497049
391,59453.9242360501
392,59772.40153914544
393,59673.66024184391
394,59216.70737746745
395,59382.15486612363
396,60545.41870495906
397,59718.74810942561
398,58508.87408663637
399,58888.38020315434
400,58561.539278979726
401,59247.920056351526
402,59719.56479062685
403,60550.89767693908
404,60480.30140699182
405,59293.361015763505
406,57994.34382888261
407,59205.38680494219
408,58907.160538521224
409,59478.17839567842
410,60281.75140402842
411,58309.010781607016
412,58319.276106237514
413,59333.35279451068
414,59371.25836953287
415,60229.32425020232
416,59610.480546766725
417,58623.10858729693
418,59616.90982663646
419,60554.41586340999
420,59807.54226074755
421,59805.376442206005
422,58961.50395356788
423,59252.885089189054
424,58188.572741450575
425,59662.0105311812
426,60547.80884483288
427,59687.766783667474
428,60398.57165351962
429,60503.14340156283
430,59842.70679177654
431,59181.1538331628
432,60483.11046466579
433,59772.89256037122
434,59491.89805316159
435,60928.11839008234
436,59155.65898824773
437,59136.53805818534
438,59364.29985167042
439,58306.53553573468
440,59693.94951133167
441,61337.709323217554
442,59133.68894865677
443,58518.952413620646
444,60299.08943726579
445,60031.820733064014
446,59492.838078287044
447,60579.86868700396
448,58948.220535056
449,59854.49045525377
450,59665.7460189559
451,58527.1064159012
452,59863.56751330509
453,59576.50205851683
454,59926.86047789863
455,58981.87915804372
456,59874.574158356365
457,58835.54206009532
458,59583.29553047198
459,60006.78866846847
460,59169.42664316707
461,59296.37222773252
462,58738.22717654584
463,59411.82223151611
464,58681.2874035007
465,58834.50673263386
466,58614.496559082196
467,60718.579143835675
468,59958.799077663236
469,58867.418191255725
470,60005.78030695355
471,58043.727150332095
472,60055.91921214652
473,59338.346950933796
474,59682.74545890697
475,59541.82036557451
476,61182.66126177437
477,60178.60781339488
478,59141.05131815273
479,59561.08516090981
480,59989.425943565206
481,58838.575976193
482,58923.977155604174
483,58906.030149543076
484,59885.42041797959
485,59408.576123953906
486,58204.79099311021
487,57863.380044671016
488,60023.34279058099
489,59787.03648435168
490,59552.75537157214
491,59471.48050822914
492,59458.87329665308
493,58775.6252497097
494,59848.32561775311
495,57962.48387191162
496,60265.681524053834
497,60407.59086816003
498,60652.082638215026
499,59313.38741332106
500,59644.66952778336
501,58281.27496196163
502,59609.90854413086
503,58785.991125175366
504,60259.496005682886
505,59753.228592364525
506,57991.40487118459
507,59020.78766881
508,59186.141796341675
509,57929.988528228045
510,58509.16677424466
511,59918.105978483436
512,60297.953989177426
513,59999.74694209754
514,58840.28190399747
515,60271.02938885372
516,58881.713892599764
517,58084.773255614105
518,59219.99986036903
519,59335.25117187699
520,60188.01844739074
521,59224.30886572155
522,59530.60355207097
523,59204.77465626079
524,59535.13927475377
525,58873.00535685423
526,58902.52349896991
527,58675.07565175732
528,58866.22789767792
529,57615.77041391051
530,60277.73757447233
531,60062.915908303556
532,59082.79709108865
533,57982.17545798071
534,58332.21058499915
535,60602.62283766483
536,60623.66149548647
537,60256.5225828248
538,60124.90448108164
539,60093.9552019132
540,58525.93196505565
541,59643.58876538745
542,60334.29825806471
543,59712.56639899135
544,59601.18698695003
545,58082.207904948395
546,58852.75237708475
547,60348.90251833631
548,60141.03316402844
549,58175.21687639218
550,59504.905563992565
551,58621.67748920988
552,59859.18764565261
553,58147.52808077515
554,59465.23317492
555,57338.212154744346
556,59436.54790936822
557,62555.406543218356
558,60298.469415925785
559,60684.78308451621
560,58935.928968175875
561,60016.03686055441
562,60158.8614329063
563,58644.29745701022
564,59265.63968616646
565,60247.353700920845
566,60367.097139436475
567,59820.82714973806
568,58787.13826261025
569,60612.30946639489
570,60049.71789787113
571,59508.32635186273
572,58956.955739662415
573,59368.72311334566
574,60717.88620526574
575,58849.06495252693
576,60819.58307351626
577,58835.484939288464
578,59243.25188360387
579,59833.961122201785
580,59901.59116902739
581,58763.19529618082
582,60647.17839063115
583,60080.79157159107
584,59782.91682529323
585,60510.84783732575
586,58258.32568399753
587,58555.083143908196
588,59465.943025801505
589,59192.04903864494
590,59502.01001498415
591,60365.0963420982
592,59937.80196580026
593,59243.28303879014
594,60128.18302138266
595,59533.80140816875
596,59960.26828355727
597,58199.76790767241
598,59845.877437534546
599,58141.961771814065
600,59433.66126617258
601,58704.4982517238
602,60214.06009271032
603,59205.85757707615
604,60704.16174673976
605,60124.686299649264
606,57636.14057761146
607,60121.1067048916
608,59894.180672391
609,60325.35448794627
610,61111.97969952751
611,59596.35773765732
612,58487.0146325576
613,59076.829044954065
614,59426.97404893206
615,58239.50740574825
616,59320.25664867928
617,61094.62094682785
618,60139.17330998689
619,59564.71652530604
620,58736.38303442346
621,58782.295820357685
622,58798.54847791191
623,59549.36660584945
624,59374.03398996332
625,59138.75352439607
626,58600.365669827006
627,60240.60757622998
628,60387.12079695271
629,58753.852927144726
630,58990.914446157316
631,59328.873723253164
632,58836.695770219805
633,57545.17197171904
634,58005.84779091237
635,58588.880757731626
636,59050.60945809046
637,58378.74000825612
638,59558.83201452567
639,60022.57187715606
640,59375.87876473901
641,58223.37634955841
642,59406.63662784001
643,58725.781731964125
644,59945.63267109329
645,59687.74799522186
646,60461.40867326731
647,58035.659434935034
648,59336.34352353542
649,58872.48166169308
650,61127.40866966426
651,58500.76837468332
652,60043.666366766345
653,59767.82204669431
654,58683.40872854376
655,57912.5138234012
656,59954.32233869786
657,59413.73266527935
658,59983.56889853988
659,59861.95693077872
660,60008.33085799201
661,59515.3453606721
662,60281.045545687506
663,59501.98312364934
664,59578.21530591959
665,59270.65911806965
666,59621.053452316475
667,59369.70850288092
668,60073.15471874094
669,58793.38974981002
670,59861.14917361137
671,59591.7710369367
672,59992.2151391864
673,61019.2023658115
674,58999.29863073867
675,58860.22022937324
676,58604.66780667561
677,59382.98854333144
678,59864.002727414925
679,60349.41468872892
680,58188.600901893
681,59847.81774199894
682,60070.122419971725
683,58675.30089085978
684,59385.21622130674
685,59124.35869898041
686,58660.28866642778
687,58941.53344487222
688,60041.22308097184
689,60097.36130303057
690,58406.89729473031
691,58756.71322949989
692,58944.32333352925
693,58849.738723108974
694,60294.95308857027
695,59319.48410231373
696,60253.2054606999
697,58656.73437897642
698,59707.04764220797
699,59504.50435497441
700,58933.3479370821
701,60514.94269608125
702,60090.9009229355
703,60014.495930531426
704,58501.78158400364
705,59512.47545340277
706,60740.29774622124
707,58568.5282701211
708,59918.514862793905
709,60571.660897763766
710,60194.51607417956
711,60191.16777382814
712,60557.17696134657
713,60317.23689124319
714,59673.673928811884
715,60075.21893864522
716,60137.00729962567
717,60430.18971325616
718,58889.89638876447
719,59518.56924190926
720,59039.242037331314
721,60438.62807433318
722,60027.39465137127
723,59178.65425477688
724,59087.65881682088
725,59542.096216323625
726,60325.19911964499
727,59412.93362448808
728,58993.912978454406
729,59216.6156635786
730,58295.00271181402
731,59950.42123689105
732,60176.834638200286
733,59411.927980947425
734,57954.96089516752
735,59260.033876571906
736,58195.22659387511
737,58904.862083123975
738,58741.806859329314
739,59587.177037844354
740,59173.85586166676
741,60739.00362832619
742,58838.75892810926
743,58034.491083258035
744,59730.35592185777
745,58438.89778056031
746,59316.092476907834
747,59857.27078790368
748,60008.19546243569
749,59447.678888490744
750,61364.764309109545
751,58186.40783321488
752,59428.097189654545
753,58885.25594633774
754,59110.34716794187
755,59614.97648931776
756,62036.60804523805
757,58161.425498934244
758,58779.76401388578
759,60207.764875491026
760,60142.70536488623
761,59505.534699493466
762,57981.21849061588
763,60007.689200358545
764,58231.63032459747
765,58486.65465758861
766,58935.40453149278
767,60771.55079161993
768,59321.22308395181
769,59265.58608140246
770,58838.95874389005
771,58519.65240766997
772,58588.262301239236
773,59081.92206658602
774,60641.14266109452
775,59544.753987656935
776,59407.74559874487
777,59439.353490155154
778,58967.71534533385
779,59753.84027971281
780,59854.533702615736
781,57281.833175567
782,60020.14476562505
783,58977.77205900569
784,58666.446072243474
785,59497.03872855785
786,58683.83983293868
787,59211.120882210744
788,58814.01075640283
789,59624.907142148666
790,60219.754573588325
791,59674.05772030146
792,60569.520313369474
793,58996.885894167826
794,58675.52993304277
795,60432.104328702124
796,58224.12316520489
797,60108.35181565234
798,59653.1110503791
799,60821.6755326181
800,59397.364620181506
801,59155.36849004855
802,60159.55194310664
803,59899.00415118657
804,58740.91988415758
805,58521.969570061556
806,58467.36339102654
807,59674.527348854324
808,59144.14359990572
809,58126.57172838032
810,60823.31464147481
811,59600.62355611286
812,60272.97181333162
813,58604.47076296245
814,59230.15889967901
815,60132.26162136944
816,58757.872450633244
817,59411.19956145263
818,59218.18761392439
819,59898.3974064811
820,59604.966450508524
821,59974.857986134426
822,59177.87249519331
823,58036.808779207815
824,59130.18790133411
825,59421.5223059918
826,59594.221891006906
827,58950.121000056475
828,58862.857948174074
829,60306.57620179002
830,59544.94949872995
831,60808.58816020663
832,58487.35538196542
833,58675.69985587362
834,59588.58462521428
835,59374.07860850406
836,59164.90741223335
837,57156.61380929077
838,59269.071218116216
839,59617.42201913048
840,59783.50331753715
841,60405.30500345694
842,58605.433311923174
843,60473.72689343899
844,58210.06912873879
845,58265.47603970224
846,59107.202870243804
847,60751.95434813292
848,59935.82558840083
849,59972.56255510547
850,60067.54809413829
851,60659.63998991346
852,59897.8327859742
853,59005.20471904297
854,59736.822040596555
855,59911.9548422399
856,59470.0213308222
857,59056.37279252038
858,59408.00964839959
859,57819.77723943974
860,60267.9803549564
861,59849.22845025847
862,60876.454613113325
863,58562.38793662665
864,59985.74916874682
865,59786.19292310371
866,59879.252466726066
867,59574.45379010044
868,59344.45372096542
869,58686.39284019756
870,60967.80479638563
871,59909.065525669976
872,59722.874119336244
873,59949.4230661192
874,60019.434841098555
875,59570.23569552303
876,58691.078880314766
877,59581.727871477364
878,60120.64584400169
879,60262.32797967178
880,60113.943538666266
881,59539.51176319073
882,60504.23398763797
883,58985.36244932509
884,59612.5139163873
885,57944.02852837907
886,60038.88325697133
887,60229.85187232689
888,59198.85081941709
889,60546.42602721684
890,59898.134823559296
891,57998.876960098314
892,59984.397263426756
893,58788.12963043071
894,57467.47628198216
895,58714.76832714142
896,58980.66452753707
897,58864.22345334747
898,59738.606772607534
899,59149.16137087688
900,59766.611396491455
901,58930.62633502335
902,60108.728915489526
903,58752.32053037201
904,59221.104239479064
905,59541.88106275659
906,59304.236592015965
907,59785.29571779193
908,59452.860509402635
909,59079.15427082641
910,58916.628299745025
911,59064.212987875246
912,58678.497298873895
913,60021.873611648574
914,59229.26770800447
915,59158.44290514103
916,58932.61287251013
917,58988.894953189454
918,58581.270253711584
919,59886.39893837255
920,59261.56300039084
921,59413.94894133737
922,59273.421501129116
923,57873.82348227393
924,59108.338894481894
925,59477.65323932965
926,60303.12175925021
927,59420.21816202817
928,59174.71876248056
929,59518.41813972745
930,59403.36141959698
931,58054.626363035175
932,59928.765593851385
933,60387.09604851973
934,58992.48418371573
935,61430.04720709583
936,58650.86541942835
937,59447.42821907091
938,59910.13672935927
939,57925.77082216863
940,62191.72964955142
941,60272.61764196111
942,59860.43017198793
943,59100.66059108769
944,59764.67314154154
945,58269.77802758515
946,59703.84268355284
947,59701.659566325856
948,60133.22361568143
949,59600.33050982148
950,58927.88751982436
951,59036.367885277075
952,59913.52079819059
953,59701.60482486218
954,60196.42586268292
955,59899.378315147966
956,59255.671128511785
957,59463.128849695495
958,61047.60681455735
959,60007.68545405102
960,59235.078899448774
961,59363.691102052115
962,58582.525059360465
963,59369.03727094364
964,60645.33699710723
965,59882.623937852186
966,59804.40626310709
967,59244.36748828137
968,58857.837000932006
969,58386.13619994812
970,59650.883761558216
971,60283.23894238275
972,59275.87002691027
973,58994.98262948552
974,59542.32973529983
975,59400.62709052266
976,60430.921433949836
977,59141.81915304859
978,59147.808174634636
979,58956.83684581712
980,59505.8141308589
981,57943.437189798635
982,58786.430729962536
983,58975.03660804012
984,58613.84499418647
985,59546.94962021731
986,58240.50948149554
987,58975.76566705551
988,59524.0774703027
989,60420.50314154976
990,59256.59048045031
991,60201.2248465876
992,59393.736318049465
993,60820.019549666715
994,59626.018282699486
995,59434.84230215165
996,60513.04528166494
997,58626.601899553956
998,60232.653319057856
999,58438.06577993148
